在水果采购合同里，**法律上没有统一规定“坏果率超过多少就必须赔付”**，关键看合同约定；如果合同没写，通常按行业惯例和实际损失来谈。实务上可参考这样设：

1. **合同有约定：按约定执行**
   - 例如约定：到货验收时坏果率≤3%为合格；超过3%可要求按比例扣款、补货或赔偿。
   - 生鲜水果常见区间：
     - 精品/高端水果：**1%—3%**
     - 普通批发水果：**3%—5%**
     - 易损水果如草莓、樱桃、葡萄、水蜜桃：**5%—8%**，甚至更高也可能被接受
   - 超过约定阈值，就可以主张赔付、扣款、退货或补货。

2. **合同没约定：看能否证明不符合质量标准**
   - 如果双方约定了“符合某某等级/规格/新鲜度”，即使没写坏果率，也可以按违约或质量不合格主张。
   - 可以要求：
     - 按坏果部分对应的货款扣减；
     - 要求补发同等数量合格果；
     - 因坏果导致的其他实际损失赔偿，如分拣费、物流费、客户索赔损失等。
   - 但如果没有约定，单方面说“超过3%就必须赔”通常没有直接依据，需要协商或诉讼中由法院/仲裁根据交易习惯、证据判断。

3. **建议合同里这样写，最容易执行**
   - **验收标准**：到货后24小时内验收，坏果率≤3%为合格。
   - **赔付方式**：超过3%的部分，按坏果重量对应的采购款1倍扣减；超过8%，买方有权拒收整批或要求退货退款。
   - **计算方式**：坏果率=抽检坏果重量÷抽检总重量×100%。
   - **抽检规则**：按每车/每批次随机抽检不少于5%或10%。
   - **通知期限**：买方应在到货后24/48小时内提出异议，逾期视为验收合格。
   - **例外情况**：买方储存不当、逾期验收造成的腐烂不归卖方责任。

4. **实操建议**
   - 如果你是**采购方**：尽量把坏果率阈值写低，并写清扣款、补货、退货、检测费承担。
   - 如果你是**供货方**：争取写“抽检比例、验收时限、自然损耗免责、超过部分按比例赔付而非整批全赔”。
   - 发生争议时，保留：到货照片/视频、过磅单、抽检记录、聊天记录、第三方检测或公证记录。

简单说：**不是超过某个法定比例就必须赔，而是合同约定优先。没有约定时，一般超过3%—5%就可以作为主张赔付的谈判起点，但是否能强制赔付要看证据和合同质量条款。**
