都乐和鑫荣懋均为大型果蔬企业，通常可随货提供农残检测报告或第三方检测报告（如SGS、华测等），但能否提供、报告形式及覆盖项目需以实际供应商/批次为准。

建议你按以下方式确认和操作：

1. **直接向供应商确认**
   - 问清：是否随货提供农残检测报告？是厂家自检还是第三方检测？
   - 问清：报告是按批次、按产地还是按年度提供？
   - 问清：检测项目是否覆盖你关注的农残指标（如有机磷、拟除虫菊酯等）？

2. **要求报告与货物对应**
   - 报告应能对应到具体批次/产地/采摘或加工日期。
   - 若供应商只给“通用报告”，要求补批次报告或书面说明。

3. **合同/订单中写清条款**
   - 约定“每批次随货提供农残检测报告”或“到货前提供电子版”。
   - 约定不符合要求时的退换货、赔偿责任。

4. **自行抽检作为兜底**
   - 茶饮店若用于现制饮品，建议对高风险批次自行送检或委托第三方抽检。
   - 可要求供应商承担因检测不合格产生的损失。

5. **替代方案**
   - 若都乐/鑫荣懋某批次无法提供，可考虑其他有资质的果蔬供应商或本地批发商，但同样要求批次检测报告。

如果你告诉我你所在城市、采购量、是鲜果还是冷冻/罐头菠萝，我可以帮你把需要向供应商索要的报告清单和验收要点列得更具体。
