都乐和洪九果品都没有公开、统一的“水果礼盒定制起订量”标准，实际起订量会随渠道、品类、包装形式、是否贴牌、季节和区域经销商政策变化，所以不能直接给一个确定数字。

可以按下面方式判断和推进：

1. **都乐**
   - 都乐在国内更多是品牌水果供应，礼盒定制通常要分两种：
     - **用都乐现有礼盒装**：起订量相对低，常见按箱/提团购，可能是几十箱到几百箱起，具体看区域经销商库存。
     - **定制礼盒/企业logo/专属组合**：一般要走企业团购或大客户渠道，起订量往往更高，常见是几百盒到上千盒起，部分区域可能要求整板/整车。
   - 都乐各地多为经销体系，不是全国统一一个起订量。直接找**都乐当地经销商或企业团购负责人**最准。

2. **洪九果品**
   - 洪九果品偏批发、供应链和渠道分销，礼盒定制通常更适合较大批量。
   - 如果是**现有礼盒产品**，起订量可能按件/箱，常见几十件到几百件起。
   - 如果是**定制包装、贴牌、指定水果组合**，起订量通常会明显抬高，常见几百盒到上千盒，甚至按整车/整批走。
   - 洪九同样有区域和品类差异，需对接当地销售或总部团购渠道确认。

3. **建议你这样问，才能拿到准确报价**
   直接给供应商发这段：
   - 采购用途：企业礼品团购
   - 需求数量：先给一个预估区间，如300盒、500盒、1000盒
   - 礼盒形式：固定组合还是可自选
   - 是否需要定制：logo、外盒、手提袋、贺卡
   - 水果品类：如车厘子、蓝莓、奇异果、橙子等
   - 配送：全国多地址还是单地址
   - 时间：具体交付月份
   - 预算：每盒多少钱

4. **更现实的拿货路径**
   - 都乐：找当地水果经销商、都乐企业团购、京东/天猫企业购、本来生活等团购渠道。
   - 洪九：找洪九当地分公司、批发市场档口、企业团购服务商。
   - 如果只要几百盒，很多时候不是直接找品牌总部，而是找其**授权经销商**更灵活，起订量也更低。

5. **结论**
   - 都乐、洪九都没有固定公开起订量。
   - 小批量几百盒：优先问当地经销商，可能能做。
   - 定制logo/专属礼盒：通常至少几百盒起，常见1000盒以上更稳。
   - 要准确数字，必须按“城市+品类+数量+是否定制”去问当地销售。
