大型超市对水果供应商的要求，核心是**食品安全可追溯 + 冷链不断链 + 稳定供货 + 合规证照**。通常可以分为以下几类能力。

## 一、食品安全能力

### 1. 资质与合规
- 营业执照、食品经营许可证/食品生产许可证（按业态）
- 食用农产品合格证或产地证明
- 若为进口水果：入境货物检验检疫证明、海关报关单
- 农药残留检测报告（第三方或自检）
- 绿色食品、有机认证、GAP（良好农业规范）等加分项

### 2. 源头管控
- 自有基地或稳定合作基地，能追溯到具体地块/果园
- 农业投入品管理：农药、化肥采购和使用记录
- 采收前农药安全间隔期控制
- 病虫害综合防治，避免违禁农药

### 3. 检测与验收
- 具备农残快检能力，或委托第三方定期检测
- 能提供批次检测报告，做到“一批一检/一批一证”
- 配合超市抽检、飞行检查
- 对重金属、霉菌毒素等风险有监控

### 4. 加工与包装卫生
- 分选、清洗、打蜡、包装环节符合卫生规范
- 包装材料符合食品接触材料标准
- 防止交叉污染，生熟、不同品类分区
- 有异物防控措施（金属、毛发、虫害等）

### 5. 追溯与召回
- 批次编码，能从超市货架追到果园和采收日期
- 有不合格品召回流程和记录
- 食品安全事故应急预案

### 6. 人员与体系
- 员工健康证、卫生培训
- HACCP、ISO 22000、BRC 等体系认证（大型超市常要求）
- 虫害防治、清洁消毒记录

## 二、物流与供应链能力

### 1. 冷链能力
- 采后预冷：差压预冷、冷水预冷等
- 冷藏运输：冷藏车、温控记录仪
- 冷库分拣：不同水果温湿度分区
- 全程温控可查，断链能说明原因

### 2. 仓储与分拣
- 符合要求的仓库，防鼠防虫防潮
- 先进先出/效期管理
- 分拣、贴标、组盘能力
- 支持超市要求的包装规格和标签

### 3. 运输与配送
- 定时定量配送，满足门店日配/隔日配
- 配送时效和到货率承诺
- 多门店配送能力，或与第三方物流协同
- 车辆卫生、消毒、温控记录

### 4. 损耗与库存管理
- 水果易腐，需控制损耗率
- 有安全库存和应急补货方案
- 能处理退货、换货、临期品

### 5. 信息化
- 订单、库存、批次、温控数据可对接
- 支持超市系统对账、追溯查询
- 异常预警（温度、时效、质量）

## 三、大型超市通常还会额外要求

- **供应稳定性**：全年或反季节供货能力
- **规模与资金**：能承受账期、垫资、促销备货
- **品控团队**：驻场或巡场质检
- **保险**：产品责任险
- **审核通过**：通过超市或第三方验厂/验仓
- **合同与赔付**：质量事故赔偿、召回费用承担

## 四、简单判断标准

如果一家水果供应商要进大型超市，至少要能回答：
1. 这批水果从哪个果园来，谁种的，用了什么药？
2. 采后有没有预冷，运输全程温度多少？
3. 农残检测报告能不能按批次提供？
4. 出问题能不能在几小时内追溯到批次并召回？
5. 能不能稳定、按时、按量配送到各门店？

**一句话总结**：大型超市水果供应商必须做到“源头可追溯、批次可检测、全程可冷链、配送可稳定、事故可召回”。其中冷链和农残追溯通常是审核最严的两项。
