与酒店早餐水果供应商谈长期合作，核心要解决**稳定供应**、**品质一致**和**风险对冲**三大问题。以下是具体谈判要点和建议：

---

### 一、签约前必须明确的条款

1. **品质标准书面化**
   - 明确水果的规格（如苹果直径≥8cm）、成熟度（七八成熟）、新鲜度（采摘后到货时限，例如48小时内）。
   - 约定**退换货机制**：例如果品表面损伤超过5%可整箱拒收，或按比例折价。
   - 要求供应商提供**产地证明**和**农残检测报告**（每批次或定期抽检）。

2. **供应保障与应急预案**
   - 要求供应商给出**旺季（如节假日、会议期）的优先供货承诺**，并明确其**最大日供应能力**。
   - 谈判**断供赔付条款**：若因供应商原因导致断供，需赔付酒店采购额的1-2倍，或提供附近市场紧急调货方案。
   - 确认供应商是否有**冷库和配送车辆自营**（而非第三方代送），减少物流波动。

3. **价格机制**
   - 建议采用**锁价+浮动**模式：如基准价按季度锁定，但设涨跌幅上限（如±8%），超过部分重新议价。
   - 针对季节性水果（如西瓜、荔枝），签订**“保底采购量”**（如每月固定采购基数），换取供应商的**出货价优惠**。
   - 明确价格是否含税、含运费，以及**账期**（常见为月结30-60天）。

4. **供货频次与前置时间**
   - 早餐高峰是早上7-9点，需谈好**每日到货最晚时间**（如6:30前）。
   - 约定**下单截止时间**（如前一天下午4点前），以及紧急补单的响应时限（如2小时内确认，4小时内送达）。

---

### 二、谈判前的实操准备

1. **测算需求量与波动**
   - 统计过去3个月早餐水果的实际消耗（分品类、按千克计），并预估未来会议/节假日增量。数据越具体，供应商越难虚报价格。

2. **要求实地考察**
   - 参观供应商的**分拣车间**和**冷库**，观察其卫生条件和管理流程（重点关注是否有“二次分拣”烂果现象）。
   - 如果供应商是批发市场代购，则要求其提供**上游产地合作证明**，避免中间商层层加价。

3. **索要客户案例**
   - 要求提供**至少2家同级别酒店的合作记录**，并直接电话回访这些酒店的采购负责人，问三个问题：
     - 断供次数多不多？
     - 品质波动大不大？
     - 售后响应快不快？

---

### 三、长期合作中的动态管理

1. **试供期与考核**
   - 首月设为试供期，每周考核**到货准时率、次品率、口感评分**（可由厨房主管打分），合格再签长期合同。
   - 合同中写明**年度续签前提**：如一年内断供超过2次或次品率>5%，酒店有权单方解约。

2. **定期复盘与调价**
   - 每季度做一次“成本-品质”复盘，根据市场行情调整价格或替换部分品类。
   - 警惕“低价中标、后期涨品质”的套路：要求供应商写明**各品类成本构成**（如产地收购价、运输费、损耗率），避免中间商随意加价。

3. **建立备选供应商**
   - 即使合作顺利，也建议维持**1-2家备选供应商**（可以是本地果农合作社或另一家批发商），平时不采购，但每季度让其报价，保持市场竞争力，同时在主供应断裂时应急。

---

### 四、特别提醒

- **避免口头承诺**：所有供应量、价格、赔付都写进合同，尤其是“优先供货”这类模糊表述必须具体化（如“旺季保证每日XX公斤”）。
- **关注水果品类结构**：早餐建议主打“高周转+耐储存”品种（苹果、香蕉、橙子），季节性强、易腐烂的（草莓、荔枝）作为浮动品种单独议价。
- **保留验收证据**：每日收货时拍照记录品质，若出现争议，这些照片是谈判或索赔的直接依据。

如果你能提供酒店大概的房量、早餐客流量或现有水果品类清单，我可以给出更具体的采购量估算和谈判价格参考区间。
