商超做会员日水果活动，供应商的配合程度直接决定活动效果。为了保证活动当天的品质、陈列和动销，供应商需要提前（建议**活动前7-10天**）完成以下硬性准备：

**一、 供应端核心准备（品质与货源）**

1. **备货与锁量：**
   - 根据商超预估的会员日销量，提前**锁定果园/基地货源**，避免旺季断货。
   - **分批到货计划**：不要一次性全送到货，建议按活动前1天到40%，活动当天早上到40%（保证新鲜），活动当天下午补20%。
2. **规格个性化定制：**
   - 如果活动主打**“爆款引流”**，需准备**大果、统货**（讲性价比）。
   - 如果主打**“高端会员”**，需提供**独立包装、礼盒装**，并附上糖度检测报告。
3. **质量许可备案：**
   - 提前向商超提交当批次的**农产品合格证、农残检测报告**（必须为活动批次，不可用旧报告代替）。
   - 特殊品种（如进口水果）需提前准备好**报关单和检验检疫证明**副本供商超留档。

**二、 仓储与冷链配合**

4. **预冷与分拣：**
   - 送货前需在供应商冷库完成**预冷**（果心温度降至合适范围，例如苹果0-4℃），防止运输途中温度剧烈变化导致“出汗”烂果。
   - 提前按商超要求进行**分拣定级**（分为促销级、正常销售级），到店后可直接上架，减少二次挑选损耗。
5. **周转筐保障：**
   - 根据商超装箱要求，准备足够数量的**专用周转筐**（可折叠塑筐），并清洗干净。切忌使用潮湿、脏污的纸箱直接码放，容易压坏底层果品。

**三、 陈列与促销物料配合**

6. **试吃品与包材：**
   - 无条件提供**足量试吃品**（按每小时消耗量2倍准备）。
   - 提供**免费打包袋、一次性手套、湿巾**等随促销台使用的辅助道具。
7. **生动化物料（货架插卡等）：**
   - 供应商需提前2天将所有**价签托、爆炸贴、POP海报**交给商超生鲜经理审核，确认无违规宣传用语（如“最甜”“第一”等禁用语）。
   - 准备**统一的堆头围布或品牌宣传条幅**，颜色需与商超当期会员日主题色匹配（通常为红色或金色）。

**四、 人员与应急支持**

8. **驻场促销员：**
   - 会员日活动当天，供应商须安排**至少1-2名专职促销员**（非临促临时顶替），需提前办理商超工牌和健康证。
   - 促销员需掌握**果品卖点话术**（如：该品种的糖度值、产地故事、食用禁忌），并会主动引导会员使用专属折扣。
9. **应急处置预案：**
   - 供应商负责人手机保持畅通，需承诺遇到“质量问题投诉”可在**2小时内换货到位**。
   - 制定**降雨/高温应急预案**，若遇极端天气，需提前供应**切盒装果盘**替代散称果品，降低损耗。

**五、 信息化对账准备**

10. **系统条码核对：**
    - 活动前3天，核对商超系统内的**促销价码**是否与下发的促销函一致，确保“会员价”能正确识别（避免买单时全价结算引发投诉）。
11. **费用与调价单：**
    - 提前与商超采购确认**活动折扣扣点承担比例**，并提交书面的按斤调价通知单，避免活动结束后的对账扯皮。

**关键提醒：**
商超会员日最忌讳**“质量参差不齐”**和**“断货”**。供应商最核心的配合是**“品控前置”**——在源头收货时就把次果剔除干净，而不是把分拣压力留给商超员工。要记住，会员日做的是口碑，供应商一次马虎可能导致后续30天被限制参与档期活动。
