针对批发档口拓展餐饮客户，菠萝和香蕉的规格建议如下：

**香蕉**  
- **首选规格**：整箱（约40-50斤/箱），成熟度控制在**七至八成**（即表皮稍青、果肉硬挺）。  
- **理由**：餐饮端（如奶茶店、水果拼盘）需控制成熟时间，七成熟香蕉可存放2-3天，避免当天熟透浪费；整箱批发可降低单价。  
- **可选小包装**：5斤/袋（适合小型甜品店或初创饮品店）。  

**菠萝**  
- **基础规格**：**去冠带皮整颗**（约2-3斤/颗）或**去冠去皮裸果**（净重1.5-2斤/颗）。  
- **定制化选项**：  
  - **切瓣/切块**：为火锅店、沙拉店提供预切块（如2cm×2cm，真空包装，1斤/袋），单价可上浮15%-20%。  
  - **冷冻菠萝丁**：适合饮品店、果酱厂（需提前沟通包装和规格，如1kg/袋）。  
- **提醒**：餐饮客户通常需要**稳定供应和成熟度一致**（如“都乐”“佳农”等品牌果更受欢迎），可考虑按固定时间段配送并搭配试吃小样。  

**通用建议**  
1. **留足样品**：给客户试吃时，确保香蕉已催熟至九成（表皮金黄）、菠萝削后无黑心。  
2. **引入“尾货处理”**：每日闭市前低折扣出清接近过熟的香蕉（用于烘焙或果泥），减少损耗并绑定长期客户。  
3. **记录偏好**：主动询问客户是否需“每日配送”“指定成熟度”“小包装”，针对重复采购客户提供月结优惠。
