在旺季与供应商合作前，建议重点确认以下问题，以确保稳定供货和风险控制：

1. **产能与备货能力**  
   - 供应商当前最大周/日供应量是多少？旺季能否优先保障你的订单？  
   - 是否有备用货源（如其他产地、冷库库存）应对突发增产需求？

2. **物流与时效**  
   - 旺季发往你所在城市的物流时效是多少天？是否支持冷链运输？  
   - 如果出现运输延误（如天气、交通管制），是否有应急物流方案？

3. **品质与验收标准**  
   - 供应商对水果的成熟度、大小、外观（如无疤、无烂果）的验收标准是什么？是否有分级制度？  
   - 若到货后发现问题（如腐烂率超过5%），如何处理？是退货、补发还是按比例赔偿？

4. **价格与付款条款**  
   - 旺季价格是否随行就市？能否锁定一个区间（如上浮不超过10%）？  
   - 付款方式是否支持”部分定金+尾款验收后付清”？是否有账期优惠？

5. **突发情况应对**  
   - 若遇产地减产、运输中断等极端情况，供应商是否承诺提前30天通知并协调替代货源？  
   - 合同是否包含不可抗力条款的分担方案（如按比例承担损失）？

6. **历史合作参考**  
   - 能否提供近两年旺季期间其他客户的供应数据（如日均发运量、售后率）？  
   - 是否有因缺货导致客户转找其他供应商的案例，当时如何解决？

**建议操作**：  
- 提前签署包含以上关键条款的框架合同，明确违约责任（如缺货按订单金额30%赔偿）。  
- 旺季前2周与供应商预约一次试运行：小批量下订单，测试响应速度和品质一致性。  
- 保留至少1-2家备选供应商联系方式，用于应急补货。

这样既可降低断货风险，也能在出现问题时快速追溯责任。
