可以。餐饮店与供应商签订锁价协议是常见做法，尤其适合季节性波动大的水果。具体操作建议：

1. **锁价谈判要点**  
   - 明确锁价周期：建议按季度或半年签约，避免长期锁价导致供应商成本风险转嫁。  
   - 设定基准价与浮动范围：例如以当前市场批发价为基准，约定±5%以内的价格波动由双方共担，超出的重新议价。  
   - 附加保量条款：承诺在规定周期内达到最低采购量（如每月500斤），换取供应商的固定价格。

2. **风险控制**  
   - 签订书面合同，明确锁价条款、违约责任（如单方违约按订单金额20%赔偿）。  
   - 要求供应商提供近期批发市场报价单据作为定价参考依据。  
   - 保留对价格异常波动的再协商权（如自然灾害导致水果减产50%以上）。

3. **替代方案**  
   - 若供应商不接受锁价，可尝试“保价协议”：约定价格上涨时供应商按协议价，下跌时按市场价结算。  
   - 核心品类（如香蕉、苹果）建议锁价，非核心品类短期采购。

4. **执行建议**  
   - 先从单一品项试合作1-2个月，验证供应商履约能力后再扩大范围。  
   - 建立价格监控机制：每日查看当地批发市场报价（如北京新发地、广州江南等公开平台数据），确保锁价不高于市场价10%以上。

如果供应商规模较小，可联合其他餐饮店集中采购以增强议价能力，或考虑与大型水果批发商签订框架协议。
