判断养老院或医院食堂水果供应商的合规性与稳定性，建议从以下四个核心维度进行考察：

### 一、合规性审查（确保合法经营）
1. **资质文件核验**  
   - 要求供应商提供：营业执照（经营范围含“食品销售/食用农产品”）、食品经营许可证（如配送需冷藏/冷冻水果）、法人身份证复印件。  
   - 若为上游产地直供，需额外提供：农产品产地证明、发货地的第三方检测报告（重点：农药残留、重金属）。

2. **动态合规记录**  
   - 通过“国家企业信用信息公示系统”查询供应商的**行政处罚记录**（如：食品安全、虚假宣传、合同纠纷）。  
   - 向当地市场监督管理局核实：该供应商近1年内是否被列入“经营异常名录”或“严重违法失信名单”。

3. **配送环节合规**  
   - 要求提供：运输车辆（冷链车）的**消毒记录**、途中温度监控记录（尤其夏季或长途配送）。  
   - 现场抽查：配送人员是否持有有效健康证，是否有完善的**防虫、防鼠、防潮**包装措施。

### 二、稳定性评估（确保持续供应能力）
1. **货源与库存能力**  
   - 明确其**核心水果产地**：是否为固定合作的种植基地或大型批发市场？是否有2个以上备选采购渠道以应对产区灾害或市场波动？  
   - 要求提供**近3个月每日/周稳定供货量**（如：每日供应10吨苹果，波动率需在±15%以内）。

2. **实操测试**  
   - 模拟极端场景：要求其在24小时内提供**突发性订单（如流感季需增加维生素C高的水果）**，考察响应速度与调货能力。  
   - 突然要求增加20%-30%的常规订单量，观察其是否能在24-48小时内完成配送。

3. **历史履约记录**  
   - 向供应商索要**过去6个月的配送记录**（包含：订单数量、实际送达量、延迟/缺货次数），重点关注与医院/养老院等同类型客户的合作案例。  
   - 向该供应商的过往客户（尤其是公立医院、大型养老机构）进行电话背调：询问其断供率、假冒调换率、价格突然波动时的处理方式。

### 三、合同与保障条款
- **质量条款**：明确注明“水果需符合《GB 2762-2022 食品安全国家标准 食品中污染物限量》”，并约定劣质品的**退换货比例**（如：损坏超过3%的给予无条件补发）。  
- **价格锁定机制**：要求对基础品种（如苹果、香蕉）实行**季度或月度锁价**，其他品种波动不超过市场批发价的±5%。  
- **争议解决**：建议加入“违约金条款”（如：缺货1次扣除履约保证金10%），并约定在**3个工作日内**完成售后服务（如：损坏水果的退/换）。

### 四、动态监督与退出机制
- **建立分级评估表**：每周配送时，由食堂/采购人员对水果新鲜度、品相、重量误差、服务态度进行评分（1-5分），连续两周低于3分则书面警告。  
- **设置试合作期**：先按“1个月”签订小额合同，重点测试交付稳定性；通过后可转为“季度+年度考核”模式，每季度收取10%-15%的**履约保证金**。  
- **退出规则**：明确写清如果出现以下情况（如：掺假、交付霉变水果、超过3次未按时配送），采购方有权**立即终止合同并没收保证金**，同时向行业监管部门报备。

### 行动建议：
1. **初期筛选清单**：建议优先选择**成立3年以上、有2家以上医院/养老机构合作案例**的供应商，可要求其提供同类合同复印件（涉密信息可涂黑）。  
2. **实地考察重点**：参观其仓储与分拣车间：是否有独立冷库（温度4-6℃）、有无使用低质包装（如：塑料薄膜而非透气纸箱）。  
3. **法律凭证保存**：所有资质、合同、配送单、检测报告需**电子化归档**，并保留至少2年（以备食品安全追溯）。
