针对都乐和鑫荣懋进口苹果的产地溯源，您可以按以下步骤操作：

1. **查看包装上的标签和编码**：  
   - 都乐（Dole）苹果包装上通常印有PLU码（价格查找码）或产地代码，例如“4xxx”开头表示常规种植，“9xxx”表示有机。同时会标注原产国（如美国、新西兰、智利等）。  
   - 鑫荣懋（Joyvio）苹果包装会有“原产地”字样，并附有追溯二维码或批次号。

2. **扫描二维码或访问官方溯源系统**：  
   - 都乐：部分产品包装上有“扫码溯源”标签，用微信扫一扫可查看果园信息、采摘日期等。都乐官网也提供批次查询入口（需输入包装上的编码）。  
   - 鑫荣懋：直接扫描包装上的二维码，进入其“鑫荣懋溯源系统”，可显示产地、种植记录、检测报告等详细信息。

3. **通过企业客服或官方渠道核实**：  
   - 都乐：拨打400客户服务热线（如400-888-8888，以包装为准）或登录官网“消费者服务”板块，提供包装代码查询。  
   - 鑫荣懋：拨打官方客服电话（如400-860-6888），或通过其微信公众号“鑫荣懋”的“溯源查询”功能输入批次号。

4. **注意事项**：  
   - 苹果包装上若仅标注“进口”，但无具体国家或企业追溯码，需警惕来源不明。  
   - 进口苹果应有中文标签（包括产地、进口商、保质期），若缺失可向超市客服投诉。  
   - 对溯源码有疑问时，可要求超市提供《入境货物检验检疫证明》或向当地海关核实。

如果遇到扫码无法识别或系统无数据，建议直接联系超市要求提供原产地证明文件。
