生鲜平台做一件代发水果时，供应商（产地仓/发货仓）的仓配能力直接决定履约时效和损耗率。如果能力不足，不仅容易被平台清退，还会因售后高发导致亏损。

以下是根据行业实操经验整理的**核心仓配能力清单**，按优先级排序：

### 一、基础硬性条件（缺一不可）

1.  **冷链仓储能力（非冷库不可）**
    - 必须拥有**独立冷库**（至少0-5℃保鲜库，部分热带水果需-1~1℃），且冷藏容积需匹配平台日均单量的3-5倍（预留周转缓冲）。
    - 具备**预冷设备**（强制风冷或压差预冷），水果采摘后必须在4-6小时内预冷至核心温度，否则货架期缩短一半。
    - 分拣车间需保持10-15℃恒温作业，避免高温挑拣。

2.  **包材与耗材规范**
    - 需具备**缓冲包材**（珍珠棉网套、EPE隔板、充气柱/充气袋），且针对不同水果定制（如芒果用独立网套+防压格栅，葡萄/提子需吸水纸+专用气柱）。
    - **纸箱抗压强度**必须达标（建议承重≥15kg/层堆叠），且必须打通风孔（至少6个开孔），否则易捂坏。
    - 需常备**冰袋/保温棉/保温箱**（夏季桃、冬枣等高需冷量水果必须用），且冰袋需提前预冷至-18℃。

3.  **分拣称重包装线**
    - 拥有**重量分选设备**（至少能按克重分选，精度±5g），或人工按重量标准包装（需有明确标准作业程序），确保每箱净重达标（平台普遍核查“重量下浮率”）。
    - 具备**自动化贴标/打印面单**能力，能对接平台打单系统（快递单、平台溯源码自动打印）。

### 二、拣选与包装能力（决定售后率）

4.  **鲜果分级标准化的能力**
    - 需具备**感官分级标准**（大小、颜色、瑕疵、成熟度），并能执行“三次筛选”（产地初选、入库复选、装袋终选），确保无烂果、无僵果、无病果装箱。
    - **成熟度控制能力**：如猕猴桃、香蕉需在7-8成硬熟期采摘，需有催熟风控经验，不能发货全熟果（易烂）或全生果（易投诉）。

5.  **订单处理系统对接能力**
    - **ERP或发运系统**需能实时对接平台的订单接口（自动抓单、回传物流单号、库存同步）。
    - 具备**随机混合订单处理**能力：当日截单后（通常上午10点/下午4点），需在**2小时内完成拣货打包**，支持平台当天要求发货（否则考核罚款）。

### 三、物流履约能力（时效与成本）

6.  **稳定的冷链快递合作关系**
    - 必须与**顺丰冷运、京东冷链、中通冷链、跨越、圆通冷链**等至少1-2家签订**协议价**，且能保证当日18点前揽收。
    - 需清楚不同物流的送达时效（如北京发广东需48小时，需评估水果耐受性），并设计“少批量、多批次”发运以减少压仓。

7.  **异常件处理与周转仓能力**
    - 具备**售后逆向物流接收点**（退件/破损件回收冷库），否则烂果堆积易污染环境。
    - 若跨区域发货，需在目标大区（如华东、华南）设有**中转前置仓**（可租用平台的分拨仓），否则跨省时效难达标。

### 四、品控与数据能力（平台重点审核项）

8.  **批次溯源与质检报告**
    - 每个批次需有**质检记录**（农残快检报告、糖度/硬度抽查记录），能提交平台审核。
    - 需有**批次编码系统**，一旦出现售后，能追责到具体果园、采摘日、打包组。

9.  **损耗与数据复盘能力**
    - 具备**自动称重复核**（发运前称重并与面单重量比对），防止“5斤变4斤”的恶性投诉。
    - 需记录**进仓损耗率、包材破损率、签收损耗率**，每周能向平台提交改进方案（推动平台给予流量加权）。

---

### 实操建议（给供应商的避坑提醒）：

- **不要为了省钱选普快**：生鲜平台对时效有硬考核（如48小时达），误时率超3%会直接限流或关店。
- **冷库不是租了就行**：需记录冷库温度的连续监控数据（平台抽查时需提供），且冷库门不能频繁开放（否则温度波动大）。
- **起步阶段优先服务1-2个平台**：不要同时接多个平台，容易因产能不足导致爆单违约。
- **如果自有仓不具备以上全部能力**：可先与专业**生鲜代运营仓配服务商（如鲜丰、美菜云仓等）** 合作，租用其分拣、冷链、打单一体化服务，等量起来再自建。

**最容易翻车的能力缺口**：① 没有预冷设备（货损率直接翻倍）；② 没有自动重量复核（被平台抓到“少秤”直接下架）。建议先把这两个硬骨头啃下来。
