做水果礼盒，核心原则是 **“美观（颜色搭配）+ 耐放（减少损耗）+ 寓意好（送礼需求）”**。针对你提到的四种水果，以下是几套经过市场验证的搭配方案，按销售场景分类：

### 1. 经典招财款（最推荐，适合送礼）
-   **搭配：** 苹果(红色) + 橙子(橙色/黄色) + 香蕉(黄色)
-   **比例建议：** 苹果4个 + 橙子4个 + 香蕉1把（约5-6根）。
-   **卖点理由：**
    -   **寓意：** 苹果（平安）、橙子（心想事成/成双成对）、香蕉（招财/像金条）。
    -   **视觉：** 红、橙、黄三色渐变，色彩饱和度高，看着喜庆富贵。
    -   **耐放性：** 这三种水果在常温下都比较耐放，能降低顾客买回去后快速腐烂的投诉风险。
-   **注意：** 菠萝不建议放入该组合，因为菠萝会释放乙烯，加速香蕉成熟变黑，也容易让苹果变软。

### 2. 高档清爽款（走差价、提高利润）
-   **搭配：** 苹果(红/脆) + 菠萝(黄色/带绿叶) + 橙子(或换成血橙)
-   **比例建议：** 苹果3-4个 + 菠萝1个（切成圆片或小块，用保鲜膜/竹签装盒）+ 橙子4个。
-   **卖点理由：**
    -   **视觉：** 菠萝的叶片和黄色果肉能瞬间提升礼盒的**高级感和体积感**。很多顾客觉得“有菠萝的礼盒更值钱”。
    -   **操作技巧：** 必须将菠萝**去皮切块**装入独立小盒，或用食用花/薄荷叶点缀，防止汁水弄脏其他水果。
    -   **销售话术：** “这个礼盒里有‘旺来’（菠萝闽南语谐音），吃了运气旺。”

### 3. 水果店特供款（便于展示和快速出货）
-   **搭配：** 苹果(多色) + 橙子 + 香蕉 + 菠萝(切半)
-   **做法：** 将菠萝一切为二，掏空果肉，再把其他水果（苹果、橙子、香蕉段）装入菠萝壳里。
-   **卖点：** 这是**网红造型款**，拍照好看，价格可以定得高。香蕉要选稍微生一点的，避免在菠萝壳里闷坏。

### 4. 避雷指南（一定不要这样搭）
-   **❌ 菠萝+香蕉直接混放：** 菠萝会让香蕉很快变黑、变质。
-   **❌ 苹果+香蕉一起密封：** 苹果也会释放乙烯气体。
-   **❌ 只放橙子和香蕉：** 颜色太单一（都是黄色），视觉上显得“穷酸”，值不了高价。

### ✅ 执行建议（马上就能用）：
1.  **做“分级”礼盒：**
    -   **基础款（68-88元）：** 苹果+橙子+香蕉，选普通果，放在带塑料托的纸盒里。
    -   **贵价款（128-168元）：** 苹果（选阿克苏/红富士）+ 橙子（选脐橙）+ **菠萝（切好）**，加大尺寸礼盒，配丝带和手写卡片。
2.  **标签策略：** 给橙子贴“心想事成”，苹果贴“平平安安”，菠萝贴“好运当头”。顾客自己带礼盒去送人，会更愿意买。
3.  **备货：** 香蕉要进**半熟**的（带点绿头），这样在礼盒里能放3-4天；菠萝要进**成熟度高**的（香味足）。

**总结答案：** 直接推 **“苹果+橙子+香蕉”** 作为主力爆款，如果想提高客单价就加上切好的菠萝。**千万不要把菠萝和香蕉直接放一个盒子里。**
