在单位采购水果时，若到货品质不一致，建议按以下步骤处理验收和售后，确保高效、公正：

### 一、严格验收环节
1. **即时全检**：到货后立即对照采购合同（或订单）中的品种、规格（如大小、成熟度、数量）逐项检查。同一批次若存在明显差异（如部分腐烂、过生或过熟），应拍照或录像留存证据。
2. **分拣标记**：将品质差异的水果按“可接受”“轻微瑕疵”“严重不合格”分类，并记录各类数量及比例。例如：约20%果皮轻微擦伤，5%已变质。
3. **双方确认**：要求送货方陪同验收，在配送单或验收报告上共同签字确认差异情况。若对方拒绝签字，可请第三方（如门卫、办公室同事）见证并签字。

### 二、规范售后操作
1. **优先协商**：在签收后24小时内（水果易腐，时间宜短）联系供应商，提供验收凭证（照片、视频、签字记录）。明确提出诉求，如：
   - 替换不合格品（要求补送同等品质的货）；
   - 按比例退款（例如不合格部分按单价扣除）；
   - 下次采购时折价或补货。
2. **落实条款**：若采购合同中有“到货不合格可拒收或部分拒收”条款，已签收但留有证据时，仍可依据条款要求对方承担运费或违约金。
3. **分级处理**：
   - 严重变质（腐烂、发霉）：必须要求换货或退款，不得混入使用。
   - 轻微瑕疵（表皮少量斑点、略偏小）：如不影响食用，可协商按折扣价结算。
   - 数量短缺：按单价扣除未送部分金额。

### 三、风险防范建议
- **提前在合同/订单中明确条款**：包括验收标准（如“同一箱内大小差异不超过XX%”）、售后响应时间（如“到货后6小时内接受投诉”）、违约责任（如“不合格产品赔付比例”）。
- **保留样品**：对争议较大的批次，留存1-2个不合格品作为实物证据（建议冷藏保存）。
- **建立投诉记录**：若同一供应商多次出现品质问题，可书面通知其整改，或列入采购黑名单。

### 四、示例应对
假设采购了10箱苹果，发现其中2箱内30%的苹果有压伤，按以下方式处理：
- 现场拍照并让送货员签字确认；
- 计算不合格苹果数量：2箱×30%×每箱20个=12个苹果不合格；
- 要求供应商：下次到货时补送12个同等苹果，或按这12个苹果的单价从本次货款中扣除；
- 若对方推诿，出示合同条款（如未约定，可依据民法典中关于标的物质量不符的规定主张权利）。

以上流程可最大程度减少单位损失，同时维护采购的公平性。如果问题复杂或涉及金额较大，可留存证据后咨询法律顾问。
