您好！很高兴您对佳农水果的长期合作感兴趣。关于年采购量1000吨以上的客户优惠政策，根据我所了解的信息，这种大宗采购通常涉及个性化定制方案，具体政策可能包括：

1. **价格折扣**：基于采购量提供阶梯式价格优惠，采购量越大单价越低。
2. **账期支持**：可能会提供更灵活的付款账期，例如30-60天信用期。
3. **优先供应权**：在水果产季或热销期，优先保障您的货源供应。
4. **物流支持**：可能包含免费或折扣的冷链物流服务，降低运输成本。
5. **定制包装**：可协商定制专属包装方案，提高品牌辨识度。
6. **市场支持**：提供宣传物料、促销活动支持或联合营销机会。

**建议下一步：**
- **直接联系佳农果品销售团队**：拨打官方客服热线（可通过佳农官网或天眼查获取）或联系区域销售经理，说明您的采购需求（如水果品类、频率、区域等）。
- **获取正式报价单**：要求提供针对年采购量1000吨的书面报价和合作条款。
- **确认合同细节**：在签订前仔细核对优惠政策是否包含在合同中，并关注违约责任条款。

请注意，由于具体政策可能随市场调整且属于商业机密，上述内容仅为常见行业惯例，实际优惠需与官方确认。祝您合作顺利！
