以下是一些常见且畅销的水果礼盒搭配方案，供你参考：

**1. 经典“红黄绿”组合（大众款）**
- **搭配**：苹果（红色）、橙子（黄色）、猕猴桃/青提（绿色）
- **理由**：颜色对比鲜明，视觉效果好，三种水果耐储存且受众广，适合送礼或家庭消费。

**2. 甜蜜热带风情（年轻用户/特定节日）**
- **搭配**：菠萝、芒果、火龙果（红心）、百香果
- **理由**：热带水果香气浓郁，口感偏甜，适合喜欢尝鲜的年轻人。菠萝和芒果需要切好装盒（附叉子），提升便利性。

**3. 健康轻食组合（健身/养生人群）**
- **搭配**：苹果、橙子、小番茄、西柚
- **理由**：低糖、高纤维、维生素C丰富；可搭配坚果包（如核桃、巴旦木）增加卖点。

**4. 实用“家庭装”（高性价比）**
- **搭配**：香蕉（选择半熟耐放）、苹果、橙子、蜜瓜/西瓜
- **理由**：香蕉易耗，可补货快；其他水果耐放。配一个带提手的纸盒，适合走亲访友或日常自购。

**注意事项：**
- **成熟度**：香蕉、菠萝不要全熟（易坏），苹果、橙子可选偏硬的便于运输。
- **防压**：菠萝带叶部分要用软纸包好，避免戳坏其他水果；香蕉单独用纸隔开。
- **包装**：建议用分格内托固定水果，防止碰撞。可在盒内附一张“水果保鲜小贴士”卡片（如“香蕉请勿冷藏”）。

**试卖建议**：先各搭配2-3盒放在门口显眼处，观察哪种卖得最快，再根据反馈调整数量和品种。
