建议优先采用**按斤结算**，具体可根据水果种类和管理目标做以下分级选择：

1. **按斤结算**（推荐）  
   - 优点：单价明确，损耗率可控，适合苹果、橙子、西瓜等不易压坏的大宗水果。  
   - 管理要点：需配置秤具，按实际到货重量验收；适合长期稳定采购的品类。

2. **按箱结算**  
   - 适用场景：香蕉、葡萄等易损水果，或供应商发规格统一的标准化箱装（如特级果、品级固定）。  
   - 风险：需提前约定每箱净重及破损率标准，避免“箱重含包装”导致成本虚高；需抽查开箱。

3. **按份结算**  
   - 适用场景：盒装草莓、切好的果切或加工水果（如一次性包装）。  
   - 注意：适合食堂直接销售或固定套餐，不适用于大宗采购；成本计算需反复核对包装重量与品控。

**综合建议**：  
- 食堂管理以**控制成本与损耗**为核心，按斤结算最透明。  
- 如果供应商规格稳定、且食堂需求固定（如每日固定品种和重量），按箱结算可减少称重时间，但需定期核对。  
- 按份结算仅在加工后销售或小份分发时采用，不建议作为主要采购结算方式。  

最终可按水果品类混合使用：大宗主粮类按斤，易损类按箱（明确净重与赔付条款），加工类按份。
