选择学校食堂水果供应商时，建议从以下几个维度进行考察和筛选：

**1. 资质与安全**
- 查验供应商的营业执照、食品经营许可证、农副产品检测报告。
- 要求供应商提供每批次水果的农残检测报告（如香蕉、苹果、橙子需重点关注果皮农残）。
- 考察供应商是否具备冷链运输和存储能力（尤其夏季避免水果腐烂）。

**2. 产品品质**
- **香蕉**：要求供应商提供七成熟香蕉，到货后能自然催熟（避免全熟香蕉易烂）。注意无黑斑、无机械伤。
- **苹果**：选择果径均匀（如80#以上）、无虫蛀、颜色均匀的品种（如红富士、嘎啦）。要求供应商提供新批次，避免库存果。
- **橙子**：关注果皮紧实度、酸甜度（可要求样品试吃），优先选带籽橙（非无籽橙）口感更佳。注意防止冷冻后烂皮。

**3. 价格与成本**
- 要求供应商提供“到校报价”（含运费、税点），对比同一品种不同供应商差价。
- 关注季节性波动：例如夏季香蕉低价、冬季橙子降价，可和供应商签订季度浮动协议。
- 注意隐性成本：供应商是否允许退换烂果（建议约定烂果率≤5%）。

**4. 配送与售后**
- 明确配送频率（建议每周2-3次或按需调货），避免囤货积压。
- 要求供应商提供“小时级”补货响应（如遇突发活动需求）。
- 考察供应商本地化程度：优先选距学校车程<1小时的供应商，避免长途运输导致水果受损。

**5. 合同要点**
- 签订样品封存协议：保留首次供货样品作为验收标准。
- 明确违约责任：如长期提供次品需罚款或终止合作。
- 设置试用期：先试合作1-2个月，再签年度合同。

**实操建议**：
- 先让3-5家供应商提供样品（各品种各1箱），学校厨务、食安、后勤三方盲测。
- 建立《供应商评分表》，按品质（40%）、价格（30%）、配送（20%）、售后（10%）打分，定期淘汰末位。
- 优先选择同时供应蔬菜、肉类的综合供应商（降低管理成本），但需确保水果品类专供能力不弱。
