判断水果报价波动是否合理，核心不是看“涨没涨”，而是看**波动是否有可解释的驱动因素**，以及**幅度是否落在该品类的正常区间内**。可以按下面几步做。

**1. 先建立“正常波动区间”基准**

对每个重点单品，记录过去30~90天的报价，算出：
- 日均波动率 = 当日价与昨日价差 / 昨日价
- 周内波动范围（最高价-最低价）/ 均价
- 季节性规律（如荔枝上市初期高、中期跌、尾期反弹）

有了自己的历史数据，就能判断“今天涨8%”是常态还是异常。没有历史数据时，可参考批发市场同品类当日均价做横向对照。

**2. 区分波动类型，分别判断**

- **天气驱动**：产地暴雨、台风、寒潮、高温。这类波动通常**幅度大、来得快、涉及同一产区多个品类**，且新闻可查。属于合理。
- **季节/上市周期**：新果上市、尾期缺货、换季断档。通常**有规律、可预期**，幅度中等。属于合理。
- **供需短期错配**：节假日备货、团购大单、突发抢购。一般**持续几天后回落**。属合理但需警惕被放大。
- **成本传导**：油价、人工、包装、冷链运费上涨。通常**幅度小、多品类同步、缓慢传导**。属合理。
- **可疑信号**：只有你家供应商单独涨、其他供应商没动；涨幅远超市场；频繁小幅上调；说法每次都是“产地涨价”但拿不出依据。这类要重点核。

**3. 用三个交叉验证动作**

- **横向比价**：同时问2~3家供应商同一规格同一产地的报价，看偏离度。单家独涨就是警号。
- **纵向比历史**：对照自己记录的同期价格，看是否超出历史波动上限。
- **向上游核**：查产地批发市场价、天气、物流信息，或让供应商提供产地收购价、装车价截图。能对上就合理，对不上就要求解释。

**4. 设定可执行的判断规则**

可以给自己定几条硬线，例如：
- 单日涨幅≤5%且有多家同步：接受。
- 单日涨幅5%~15%：要求供应商给出原因，并对照市场价。
- 单日涨幅>15%或连续3天上涨：暂停按新价结算，启动比价和核价。
- 只有单一供应商涨价、市场未动：不认可，按原价或换供应商。

**5. 合同和管理上留后手**

- 合同里约定调价机制：如“以某批发市场当日均价为基准，上下浮动不超过X%”。
- 要求提前通知：如调价需提前1天书面/消息告知并说明原因。
- 保留询价记录、聊天记录、报价单，作为后续谈判依据。
- 对高频波动的品类，可改用“随行就市+每日确认”模式，避免扯皮。

**一句话判断法**：能对上天气、季节、市场均价、多家同步的波动，基本合理；只有一家涨、说不出原因、幅度还大的，就不合理，先核价再结算。
