判断苹果和橙子的大小规格是否适合门店销售，核心看三点：**目标客群接受度、陈列与损耗可控、价格带匹配**。可按下面方法直接操作。

## 一、先定“卖给谁”，再定规格

| 门店类型 | 苹果建议果径 | 橙子建议果径 | 逻辑 |
|---|---|---|---|
| 社区生鲜/家庭日常 | 75–85mm | 65–75mm | 大小适中，单价低，家庭一次买几个 |
| 精品超市/中高端 | 80–90mm | 70–80mm | 卖相好，礼盒、果切、送礼 |
| 便利店/小份装 | 70–80mm | 60–70mm | 单果小，按个卖或小包装 |
| 批发/团购 | 80mm以上统货 | 75mm以上 | 走量，规格整齐即可 |

**关键判断**：如果门店主要客流是家庭日常采购，80mm以上大果反而难卖，因为单价高、一次吃不完；如果是礼品或高端客群，小果会被认为“不上档次”。

## 二、现场验货的硬指标

### 苹果
- **果径**：用卡尺量最大横截面，同一批货误差控制在5mm以内。
- **重量**：80mm红富士通常200–250g；75mm约160–200g。
- **整齐度**：一箱里最大和最小差超过10mm，说明分级不严，陈列会乱。
- **表皮**：无大面积锈斑、碰伤、裂口；轻微果锈不影响口感但影响卖相。

### 橙子
- **果径**：用卡尺量赤道直径，同批误差控制在5mm以内。
- **重量**：70mm脐橙约180–220g；65mm约150–180g。
- **皮厚与可食率**：同规格下，手感沉、皮薄的更好卖。
- **整齐度**：大小混杂的橙子堆头显廉价，建议按规格分筐。

## 三、用“陈列+损耗”反推规格是否合适

1. **堆头测试**：拿一箱货实际摆堆头，看是否容易塌、是否显得空。小果堆头需要更多数量才饱满，大果容易堆高但怕压伤。
2. **周转测试**：同一规格连续卖3天，看每天损耗率。苹果损耗超过3%、橙子超过5%，说明规格或成熟度不适合当前销售节奏。
3. **价格带测试**：
   - 苹果：75–80mm通常对应门店主力价格带；85mm以上适合做利润款。
   - 橙子：65–70mm适合走量；75mm以上适合做礼盒或精品。
4. **顾客反馈**：直接问理货员或收银员，最近顾客嫌大还是嫌小、嫌贵还是嫌不甜。

## 四、采购时的快速判断口诀

- **苹果**：家庭店选75–85mm，精品店选80–90mm，误差≤5mm，无重碰伤。
- **橙子**：社区店选65–75mm，精品店选70–80mm，手感沉、皮薄、同批整齐。
- **通用**：先看目标客群，再看陈列是否好看，最后算损耗和毛利。三项都过，规格才适合门店销售。

如果你能告诉我门店类型、主要客群和计划售价，我可以帮你把具体规格和采购比例算得更细。
