判断苹果和橙子的大小规格是否适合门店销售，主要考虑以下两个核心标准：

1. **参考行业通用分级标准**  
   - **苹果**：一般按直径（果径）分级。  
     - 大果：直径≥80mm（适合高端或精品门店）  
     - 中果：直径70-80mm（最通用的超市规格）  
     - 小果：直径60-70mm（适合促销或散货）  
   - **橙子**：同样按果径分级。  
     - 大果：≥75mm（首选）  
     - 中果：65-75mm（常见）  
     - 小果：<65mm（可能不适合常规销售）  

2. **商品定位与顾客预期**  
   - 如果门店主打“实惠家庭装”，中果合适；如果是“新鲜精品”，则大果更佳。  
   - 建议采购时随机测量10-20个果实，看80%以上的果实是否在目标规格范围内（比如目标70-80mm，应占80%以上）。  
   - 外观还需均匀：果形端正、无畸形、无严重病虫害或机械伤。

**快速实操建议**：  
- 使用标准果径测量卡，现场抽查。  
- 对比同期同类商品的销售记录，避免规格低于历史均值。  
- 若门店尚未有明确分级，可参考本地批发市场同级品的大致标准（比如苹果通常“70#”代表直径70mm，橙子“70mm”为常见中间档）。  

没有固定“绝对标准”，关键在于**与你的定价、陈列、客流消费习惯相匹配**。
