采购方在试卖新品时，没有一个绝对固定的“万能数字”，但**可以遵循一个非常稳且可执行的原则：以“7天×核心门店”为单位进行小批量试销**。

具体建议如下：

**1. 首选策略：以“单周”为周期，按门店数量确定量**
- **基础安全量**：**每家试点门店，按预估日销量的3-5倍进货**。例如，某新品蜜瓜预估单店日销10箱，则首批试卖进货量为 10箱 × 3天 = 30箱/店（留出损耗和波动空间）。
- **推荐试点门店数**：**3-5家**（挑选不同商圈的代表性门店，如社区店、写字楼店各1-2家）。
- **总试卖量 = 单店基础安全量 × 门店数**。
- **周期**：严格控制在**7天**之内。这是水果生鲜的临界周期，能覆盖一个完整的周末消费高峰，且不易因囤货产生严重损耗。

**2. 判断标准（分阶段看数据）**
- **前3天**：看**动销率**（卖出的数量占总进货比例）是否超过60%。如果低于40%，立即考虑减产或停止追加订单。
- **第5-7天**：看**复购率**（是否有回头客二次购买）及**损耗率**。水果新品损耗超过15%就必须警惕。
- **最终决策线**：如果7天试卖期结束后，**日均售罄率稳定在80%以上，且损耗率低于10%**，可以考虑进入正式铺货阶段（扩大至全部门店，并签订正式月度供货协议）。

**3. 特别注意事项（水果品类的特殊性）**
- **保鲜期定价法**：如果新品是极易腐坏的（如草莓、荔枝），首批量应**再减半**，并将试卖期缩短为**3-5天**。此时可接受“售罄”甚至“断货”，绝不接受“大量腐烂”。
- **定价前置**：试卖前必须和供应商书面确认**退换货条款**，通常应争取“非人为损坏的次品可折价退换，比例不低于5%”。这能大幅降低试卖成本。
- **留一手数据**：试卖期间，必须要求店员**记录“顾客问价未买”的次数**。这是判断定价是否偏高的重要依据，比销售数据更早暴露问题。

**4. 紧急刹车信号（出现任一情况，立即停止试卖并退货调价）**
- 第2天损耗率超过8%。
- 顾客有尝味后皱眉、放下不买的明显负面反馈。
- 价格高于同品类竞品30%以上且无任何品牌溢价支撑。

**总结一句话**：**拿出总销售额的1%-2%作为试错成本，用不超过7天的时间，在3-5家典型门店各备3-5天的预估销量，货到前先锁定清货/退换协议。** 这样最稳，进可攻，退可守。
