公司下午茶采购水果，建议把重点放在“稳定交付”而不是“单价最低”。适合批量配送的供应商，通常要同时满足以下几点，可以按这个框架筛选：

1. **先定采购标准，再找供应商**
   - 明确人数、预算、配送频次（每周几次/每月几次）、送达时间。
   - 明确水果形式：整果、果切、拼盘、单品类。
   - 明确验收标准：新鲜度、成熟度、损耗率、单果规格、是否有坏果包赔。
   - 明确禁忌：是否要避开易压坏、易氧化、气味重的水果。

2. **优先看这几类供应商**
   - **本地水果批发市场商户**：适合大批量、成本低，但配送和售后不稳定。
   - **生鲜配送平台/企业采购平台**：适合标准化、开票、对公结算，价格中等。
   - **本地果切/下午茶配送商**：适合直接送果切拼盘，省人力，但单价高。
   - **产地直供或基地供应商**：适合长期、大批量采购，价格有优势，但起订量高。
   - **连锁水果店/区域水果连锁**：适合中小批量、临时补货，响应快。

3. **筛选时重点问清这些问题**
   - 是否支持对公转账、开发票？
   - 配送范围是否覆盖公司地址，几点前下单能当天/次日送达？
   - 起送量是多少，是否免费配送？
   - 坏果、压伤、不熟怎么赔？是补送还是退款？
   - 能否固定每周配送菜单和品类？
   - 旺季或节假日是否涨价、是否保证供应？
   - 能否提供农残检测或食品经营许可证等资质？

4. **建议的测试方法**
   - 先找2-3家供应商做小批量试单，不要一上来签长期。
   - 试单时重点看：到货时间、包装、损耗率、水果成熟度、员工反馈。
   - 连续试2-3次，再决定是否长期合作。
   - 对果切类供应商，要特别看冷链、加工时间和卫生资质。

5. **比较价格时不要只看单价**
   - 算“可食用成本”：单价 + 配送费 + 损耗 + 人工处理成本。
   - 整果便宜但需要行政洗切，实际不一定省。
   - 果切方便但溢价高，适合人少、频次高、没后勤人手的公司。

6. **比较适合批量配送的选择顺序**
   - 追求性价比：本地批发市场商户 + 公司自行分装。
   - 追求省事：本地果切/下午茶配送商。
   - 追求稳定合规：生鲜企业采购平台或区域连锁水果商。
   - 追求长期低成本：产地直供/基地供应商，但要有冷库或稳定收货能力。

7. **合同或长期合作要写清**
   - 品类、规格、数量、单价、配送时间。
   - 验收标准、坏果赔付比例。
   - 临时加单、取消订单规则。
   - 发票、结算周期。
   - 食品安全责任。

简单说：**小批量试单、看损耗和准时率、算可食用成本、优先选能稳定配送和赔付的本地供应商。**如果公司人数在50人以内，通常本地连锁水果店或果切配送商更省事；100人以上且长期采购，再考虑批发市场或产地直供。
