第一次从水果供货商进货，尤其是“夫妻店”这种规模，**核心原则是：小批量、多品种、短账期、看损耗**。千万别一上来就压几千斤，很容易被“坑”在烂果和库存上。

针对香蕉、苹果、橙子这三种常见货，试单建议如下：

### 一、香蕉（最考验眼光，最容易亏）
- **试单量**：**1-2件（约30-50斤）**，特别注意要“青熟状”的，不要全黄。
- **看什么**：
  - **硬伤**：看有无压伤、黑杆、**梅花点**（斑点太多说明不新鲜）。
  - **软伤**：试单时一定问清楚**“现在能卖半天”**，让供货商给你挑“杆青果黄”的——如果当天拿出来全是青的，说明还没熟，你压货会亏。
- **问清楚**：他们有没有冷库？如果当天卖不完，能不能帮你暂存保鲜？如果不行，建议少拿。

### 二、苹果（容错率高，但怕“假甜”）
- **试单量**：**2-3箱（约60-90斤）**，选2-3个不同品种（比如红富士、嘎啦各一箱）。
- **看什么**：
  - **切开看**：一定要让供货商切开一个给你看，**芯部发黄**的甜度高，发白的可能不熟。
  - **摸表皮**：打了蜡的苹果表面滑，不打蜡的有点涩，问清楚是“套袋果”还是“光果”，价格差很多。
  - **试吃**：当场切一个，别只听他说“很甜”，自己尝，带点酸味没坏，但纯酸就换一家。
- **注意**：苹果可以少量试3天，如果卖得好再加大。

### 三、橙子（最怕“干水”和“打蜡染色”）
- **试单量**：**2筐（约50-80斤）**，橙子不能压，宁可少拿。
- **看什么**：
  - **掂重量**：同样大小，拿起来越重越好，轻的说明放久了“抽干水”。
  - **看肚脐**：尽量选“脐橙”，底部有个小肚脐的，好剥、肉甜；没肚脐的可能皮厚。
  - **警惕染色**：用纸巾蘸水擦一下表皮，如果纸巾**明显变红/变黄**，立刻退掉，那是打蜡染色的。

---

### 最关键的动作：和供货商谈“退货/换货”条款
- 试单时**一定口头约定**：如果到货**当天**发现有压烂、坏果超过5%，要求**当场挑出来换或退**。
- 不要谈“记账”，第一次**必须现金或扫款**，但**要求开单子**，写上品名、斤数、单价，这既是对账凭证，也能看出这家供货商是否正规。

### 试单的“两不要”
1. **不要进“拼车货”**（几个果贩拼车拉来的），品控不稳定，坏果多。
2. **不要为了压价进陈货**：如果他给你报的价格比同行便宜超过10%，大概率是库存果或者次果，试单就露馅。

最后提醒：试单期间，每天把香蕉、苹果、橙子的**实际损耗斤数和利润**记在一个小本子上，3天后算一笔账——如果损耗超过15%，这家可以换；如果损耗低于10%且利润有20%，那就可以逐步加量了。祝你开张大吉！
