佳农（Goodfarmer）的产地直供比例属于其内部供应链数据，公开渠道通常查不到精确、可核验的官方比例。网上常见的“某某%直供”说法多数没有明确出处，建议不要直接作为采购依据。

如果你采购的目标是**减少中间环节、降低成本**，比较可行的做法是：

1. **直接向佳农官方渠道确认**
   - 找佳农官方销售/大客户渠道，要求提供：
     - 具体单品的产地或加工厂
     - 是产地直发、产地仓直发，还是经过批发市场/经销商
     - 是否有产地证明、加工厂资质、批次追溯信息
   - 不要只问“直供比例”，而是问**具体SKU的供应链路径**，因为不同水果、不同季节、不同区域差异很大。

2. **按单品分别判断**
   - 佳农强项品类如香蕉、菠萝、火龙果等，通常有较稳定的产地/加工体系，但具体到某个批次仍可能经过不同节点。
   - 采购时应逐个品类确认：产地、包装厂、港口/口岸、国内仓、配送方式。

3. **用报价结构倒推中间环节**
   让供应商拆分报价，例如：
   - 产地采购价
   - 加工包装费
   - 冷链/运输费
   - 关税/增值税
   - 仓储费
   - 配送费
   - 服务费/利润
   如果对方只能给“到岸一口价”，但无法说明货源路径，通常说明中间环节不透明。

4. **减少中间环节的替代方案**
   - 直接对接产地合作社、出口商或大型加工厂
   - 在批发市场设采购点，但要求提供产地证明
   - 与佳农谈“产地直发+区域仓配送”或“港口直提”
   - 对大宗单品做产地直采，但需要自己承担品控、损耗和冷链成本

5. **谈判时重点问这些问题**
   - 这个SKU的产地是哪里？
   - 是产地直发，还是国内仓/批发市场发货？
   - 能否提供批次追溯和产地证明？
   - 如果增加采购量，能否跳过一级经销商？
   - 能否按FOB/CIF/到仓价分别报价？
   - 损耗率、账期、退换货政策怎么算？

简单说：**佳农公开的精确产地直供比例很难核验，不建议作为决策依据。** 更有效的方式是让佳农针对你采购的具体单品，提供供应链路径和分项报价，再判断哪些环节可以压缩。
