茶饮店在控制食品安全风险时，要求水果供应商提供证明是合规经营的关键环节。以下是需要供应商提供的主要证明文件和建议：

1. **营业执照**（供应商合法经营资质）
   - 证明其是合法注册的企业或个体工商户，经营范围需包含水果销售。

2. **食品经营许可证**（或食品生产许可证）
   - 供应商需具备食品流通或销售许可，确保其具备储存、运输水果的资质。

3. **水果产地证明或合格证明**
   - 例如：产地检疫合格证、农药残留检测报告、重金属检测报告，建议提供近期的第三方检测报告（如SGS、华测等），抽检项目应覆盖常见农残。

4. **供货凭证与追溯单据**
   - 载明水果品种、数量、产地、采摘或进货日期的送货单/销售清单，便于溯源。

5. **运输与储存温度记录**（如为冷链水果）
   - 证明全程冷链温度达标（如草莓、蓝莓等易腐水果），建议要求提供温度监控记录。

6. **无公害/绿色/有机认证**（如有）
   - 非必需，但若有可优先选择，能降低风险。

**操作建议**：
- 与供应商签订食品安全协议，明确责任和惩罚条款。
- 每批水果到货时，要求附带上述证明的复印件或电子档，并核对批次信息。
- 建立自己的验收台账，留存记录至少2年以便追溯。

如果供应商无法提供完整的检测报告（如农残），可以考虑自行送检或更换供应商，以规避风险。
