判断苹果和橙子的大小规格是否适合门店销售，建议从以下几个实际可操作的维度入手：

1. **参考行业通用分级标准**（可通过供应商或批发市场获取）：
   - **苹果**：一般依据直径（果径）划分。常见零售规格为：**70-80mm（中果）、80-90mm（大果）、90mm以上（特大果）**。低于65mm的小果通常不适合直接零售（除非特价区或加工用）。
   - **橙子**：常见标准为：**65-70mm（中果）、70-80mm（大果）、80mm以上（特大果）**。低于60mm的橙子通常口感偏酸或皮厚肉少，不建议作为常规零售品。

2. **检查同批次一致性**：
   - 同一批次、同一标价区内的果品，**直径差异尽量控制在10mm以内**（如中果68-78mm）。差异过大会让顾客产生“大小混装”“以次充好”的感觉，影响复购率。

3. **目测与手感辅助判断**：
   - **苹果**：放在掌心，直径约等于成人**中指到拇指根部的距离**（约8-9cm）为正常大果；明显小于半个巴掌的偏小。
   - **橙子**：单手抓握时，**大小刚好填满手掌心**（不含手指并拢后）通常合格；握起来显得太小或明显显小则需留意。

4. **结合门店定位与定价策略**：
   - 高端精品店：建议选**80-90mm苹果、75-85mm橙子**（个头均匀、外观完美）。
   - 社区平价店：**70-80mm苹果、65-75mm橙子**性价比高，走量快。
   - 散称/促销区：允许少量**60-65mm小果**混搭，但需标注“小果”或“特价”以利区分。

5. **试销与反馈调整**：
   - 首次进货时每种规格各拿一小批（如中果与大果各2箱），通过**上架后3-7天内的销售速度、顾客拿取频次、退换货率**来决定主推规格。

最后，一定要与供应商确认：**一批货中允许的“小于基准尺寸”的比例**（通常不超过5%-10%），避免实际到货中出现过多偏小果影响整体陈列效果。
