关于茶饮店采购菠萝原料需要农残检测报告的问题，**都乐（Dole）和鑫荣懋（Xinrongmao）作为大型水果供应商，正常情况下都可以提供相应的农残检测报告**。但具体能否提供、以及提供的方式，取决于以下因素：

1. **采购渠道**：  
   - 如果您是通过**经销商、批发市场或电商平台**购买，而非直接从厂商或官方渠道采购，可能需要向经销商索取报告，或由经销商转交厂商的检测报告。
   - 如果是**官方直营、大客户渠道**，通常供应商会主动提供或应要求提供。

2. **报告类型**：  
   - 农残检测报告通常有**出厂自检报告**（生产企业出具）和**第三方机构检测报告**（如SGS、华测等）两种，后者更具权威性，通常也会更完整。
   - 大型供应商一般会保留第三方检测报告，尤其是用于出口或大型连锁客户的产品。

3. **建议操作**：  
   - **直接联系供应商客服或销售**，询问能否提供该批次菠萝的农残检测报告，并明确要求是“第三方检测报告”或“出厂报告”的电子版/纸质版。
   - 如果供应商无法提供，可以要求其提供**产地证明**、**入境货物检验检疫证明**（若为进口菠萝）等替代文件，或要求提供**产品合格保证书**。
   - 如果仍然缺失，可以自行付费送样到第三方检测机构（如SGS、华测、谱尼测试）进行检测，费用通常在几百元到上千元不等，周期约3-7个工作日。

**总结**：都乐和鑫荣懋作为规模化供应商，多数情况下能提供农残检测报告，但建议您在下单前以书面或邮件形式索取，并确认报告覆盖的农药项目和检测标准（如GB 2763-2021），以便满足茶饮店合规要求。如果对方含糊其辞，需提高警惕，谨慎采购。
