对普通商家，供应商介绍产品时不要先讲品种名、产地故事或行业黑话，而要用商家熟悉的“卖货语言”来翻译。核心是说清楚：**这东西像什么、卖给谁、怎么卖、能赚多少、风险多大**。

可以按这个顺序讲：

1. **先对标熟悉品类**
   - “这个你可以理解成菠萝里的‘小台农’，个头小、甜度高、不用泡盐水。”
   - “这个香蕉不是普通香蕉，是偏小的皇帝蕉，口感更糯，适合做果切和儿童零食。”

2. **说清和常见货的差别**
   - 外形：大小、颜色、熟度、有没有明显特征。
   - 口感：甜、酸、糯、脆、香、汁水多不多。
   - 使用场景：直接吃、榨汁、做果切、烘焙、餐饮配料。
   - 操作难度：要不要催熟、耐不耐放、损耗大不大。

3. **直接说卖给谁**
   - “适合水果店做中高端散卖。”
   - “适合奶茶店做饮品原料。”
   - “适合社区团购做9.9元引流。”
   - “适合餐饮店做餐后水果，出品好看。”

4. **算一笔简单账**
   - 进货价、建议零售价、毛利大概多少。
   - 一箱能出多少份、损耗多少、坏果怎么赔。
   - “一箱20斤，按5元一斤拿，卖8.8元一斤，不算损耗毛利大概38%。”

5. **降低决策风险**
   - 先小批量试卖，不要一上来压大货。
   - 明确售后：坏果包赔、拍照标准、赔付比例。
   - 给试销建议：先拿一箱，摆堆头/做试吃/上团购。

6. **用一句话总结卖点**
   - “你就记住：比普通菠萝小，但更甜、不用泡盐水，适合按个卖，毛利高。”
   - “你就记住：比普通香蕉小，但更糯更香，适合做果切和儿童客群。”

供应商最容易犯的错是：
- 一上来讲品种、产区、海拔、糖度数据，商家听不懂。
- 只说“好吃、高端、稀缺”，但不说卖给谁、怎么卖。
- 不给试销方案和售后，商家怕压货。

最有效的说法模板：
**“这个货你可以当成___的升级版，主要卖给___，吃法是___，进货价___，建议卖___，一箱大概赚___，你先拿___试，坏果按___赔。”**

商家听完能立刻判断：像不像我店里现有货、有没有人买、赚不赚钱、压不压货。这样下单概率会高很多。
