要固定，但不要只固定“产地”，更要固定“品种＋等级＋成熟度＋加工批次＋验收标准”。水果风味波动主要来自品种、成熟度、季节、土壤气候、采后处理，单纯固定产地并不能保证稳定。

**建议这样做：**

1. **主供应基地＋备用基地**
   - 主力供应商固定1家，锁定品种、果园/产区、采收标准。
   - 同时准备1–2家备用，防止断供或品质崩掉。
   - 不要只写“某某产地”，要写到具体果园、合作社或加工厂。

2. **固定批次，但按批次验收**
   - 同一款饮品尽量使用同一采收季、同一加工批次的原料。
   - 每批到货做风味验收：糖度、酸度、香气、颜色、出汁率、有无发酵味。
   - 设置可接受范围，超出范围就退货或降级使用。

3. **用“标准”代替“感觉”**
   - 例如：糖度≥多少、酸度在什么区间、果肉比例、色泽、香气强度。
   - 对冷冻果泥、浓缩汁、果酱，还要看固形物、粘度、杀菌工艺是否一致。
   - 门店端可做小样复配测试，确认和标准杯差异不大。

4. **采购策略**
   - 核心爆款：固定产地＋固定批次＋年度锁量，优先保稳定。
   - 季节性产品：允许换产地，但必须提前测试并调整配方。
   - 非核心产品：可多产地比价，但验收标准不能降。

5. **配方端留调整空间**
   - 糖浆、茶底、酸度调节可以小幅补偿水果差异。
   - 但补偿范围要有限，不能靠门店“随手加糖”解决。

**结论：**
采购时应该固定“供应体系”和“质量标准”，而不只是固定产地。最稳的是：固定品种和等级，锁定主供应商与批次，同时保留备用基地，并用糖酸度、香气、颜色等指标做每批验收。这样既能降低波动，又不会被单一产地卡死。
