我无法确认佳农水果目前是否提供菠萝切块或定制包装这类加工服务。这类信息会随客户类型、订单量、合作模式变化，公开渠道也未必实时更新。

建议你按下面方式快速判断和推进：

1. **先明确你是哪类客户**
   - 商超/电商/餐饮/批发商：通常更可能谈到定制切块、规格分选、贴牌包装。
   - 个人消费者：一般只能买到标准零售包装，定制加工可能性很低。

2. **直接问佳农官方渠道**
   - 佳农官网/官方公众号的客服或商务合作入口。
   - 佳农在主要批发市场、区域经销商或城市配送商。
   - 电商旗舰店客服：问“是否支持企业采购定制切块/包装”。

3. **问清这几点，能快速判断能不能做**
   - 最小起订量是多少？
   - 是鲜切冷链，还是冷冻菠萝块？
   - 包装形式：袋装、盒装、贴牌、规格克重。
   - 是否需要冷链配送、保质期和资质要求。
   - 报价是否含加工费、包装费、冷链物流费。

4. **如果佳农不做，替代方案**
   - 找专业鲜切水果加工厂或中央厨房。
   - 找菠萝产地加工厂做冷冻/鲜切代工。
   - 由经销商协调“佳农原料 + 第三方加工”。

结论：**不能直接确认佳农提供这类服务，但企业客户通过官方商务渠道询价，是最可靠的确认方式。** 如果你告诉我你的采购量、用途和所在城市，我可以帮你把询价问题整理成一段可直接发给对方的模板。
