超市水果到货后发现品相不好，售后流程要分两层约定：**先约定“什么情况算可售后”，再约定“怎么赔、多久内处理”**。否则现场容易扯皮。

下面是一套可直接写进采购合同、供货协议或门店验收制度的条款思路。

## 一、先明确验收和售后边界

水果属于生鲜，不能简单按“7天无理由”处理。建议按时间点拆分：

1. **到货当场验收**
   - 核对品种、数量、规格、成熟度、外观。
   - 对明显腐烂、压伤、裂果、霉变、异味、严重碰伤、规格不符的，当场拍照、称重、记录。
   - 当场可拒收，或双方确认后“折价接收”。

2. **到货后24小时内**
   - 对内伤、隐性压伤、部分变质、成熟度过高、过低的，可提出售后。
   - 要求保留原包装、批次标签、照片或视频、库存位置。

3. **超过24小时或已上架销售后**
   - 一般不再按“到货品相不好”全额售后。
   - 除非能证明是到货前就已存在的质量问题，例如批次性霉变、冷害、药害、内部腐烂。
   - 可约定按剩余未售部分协商补偿，而不是整批退货。

## 二、售后流程怎么约定

建议写成固定动作：

1. **发现异常**
   - 门店立即停止销售问题批次。
   - 隔离存放，避免混入正常库存。

2. **取证**
   - 拍摄全景、近景、包装标签、批次号、称重照片。
   - 记录到货时间、验收时间、发现时间、存放条件。
   - 保留至少3份问题样品，必要时封样。

3. **提交售后申请**
   - 在约定时限内通知供应商，例如到货后24小时内。
   - 提交《售后申请单》，写清品名、批次、数量、问题描述、诉求。
   - 诉求可选：退货、换货、折价、补货、扣款。

4. **供应商确认**
   - 供应商应在约定时间内回复，例如24小时或48小时。
   - 可现场确认、视频确认或委托第三方确认。
   - 逾期不回复，可约定视为认可门店提交的证据和诉求。

5. **处理结果**
   - 能退的退，能换的换，不能退换的按折价或扣款处理。
   - 退款、补货、扣款时间写清楚，例如确认后3个工作日内完成。

6. **归档**
   - 每笔售后保留单据、照片、聊天记录、处理结果。
   - 用于后续供应商考核和批次追溯。

## 三、赔偿方式怎么约定更合理

可以按问题比例和严重程度分档：

- **轻微品相问题**：如少量表皮擦伤、颜色不均，不影响食用。
  - 建议折价5%—15%，或按实际挑出数量扣款。

- **中度问题**：如部分压伤、裂果、成熟度不均。
  - 建议按问题数量退货或折价20%—50%。

- **严重问题**：如腐烂、霉变、异味、批量性变质。
  - 建议整批拒收或全额退货，并由供应商承担运费和损耗。
  - 若已造成门店损失，可约定额外赔偿。

- **隐性质量问题**：到货时看不出来，24小时内暴露。
  - 按实际影响数量售后，不搞整批全赔，除非证明是批次性缺陷。

## 四、关键条款建议

可直接写成类似表述：

> 水果到货后，门店应在到货当日完成验收。明显腐烂、霉变、严重压伤、规格不符的，门店有权拒收或要求折价。到货后24小时内发现隐性质量问题的，门店可凭照片、视频、称重记录和保留样品向供应商提出售后。供应商应在收到通知后24小时内确认，逾期未确认视为认可。售后方式包括退货、换货、折价、补货或扣款。因供应商质量问题产生的运费、损耗及合理损失，由供应商承担。

## 五、最容易出问题的地方

1. **只写“品相不好”**
   - 太模糊，必须写清标准，例如大小、颜色、成熟度、损伤比例。

2. **没有时限**
   - 必须写到货后几小时内提出，否则供应商会认为门店存放不当。

3. **没有证据要求**
   - 照片、视频、称重、批次、样品，至少要有一套。

4. **没有逾期视为认可**
   - 否则供应商拖几天不回复，门店很被动。

5. **把生鲜当普通商品**
   - 水果会继续成熟和腐烂，售后必须和到货时间、存放条件绑定。

## 六、一句话结论

售后流程应约定为：**到货当场验收，24小时内可提隐性质量问题；门店留证并隔离，供应商限时确认；按轻微折价、中度退换、严重整批退赔处理；逾期不回复视为认可。**  
这样既保护超市，也避免供应商承担无限责任。
