佳农（Goodfarmer）主要是水果品牌/供应链企业，面向消费者的“配送到家”通常不是它自己直接做全国零售配送，而是通过商超、生鲜平台、社区团购、批发渠道等销售。因此：

1. **配送覆盖哪些城市**
   - 佳农官方一般没有像京东、顺丰那样公开一张“全国城市配送覆盖表”。
   - 如果你说的是佳农在天猫/京东/抖音等旗舰店下单，覆盖范围取决于该店铺合作快递，通常大部分地级市可到，部分偏远地区、乡镇可能不到或加运费。
   - 如果你说的是通过美团优选、多多买菜、盒马、永辉、大润发等渠道买佳农水果，能否送到取决于你所在县城有没有这些平台/门店的履约点。

2. **你们县城门店能不能送到**
   - 关键不是“佳农能不能送”，而是你所在县城有没有承接配送的渠道：
     - 有京东/顺丰/中通等快递网点：电商旗舰店大概率能到，但生鲜是否发货要看店铺。
     - 有美团优选/多多买菜自提点：可能次日自提，不一定送货上门。
     - 有盒马、永辉、大润发、本地连锁超市：看其线上配送范围，通常只覆盖门店周边几公里。
   - 最准确判断方法：打开你常用的电商/生鲜平台，定位到你所在县城门店地址，搜索“佳农”，看是否显示“可配送/可次日达/无货”。

3. **冷链物流怎么收费**
   - 佳农对普通消费者一般没有统一公开的冷链收费标准。
   - 如果是电商购买，通常按店铺规则：满额包邮、按件收冷链费、按重量/地区加收，偏远地区可能不发货。
   - 如果是批发/商超供货，冷链物流多按合同、吨位、线路、温层、城市距离报价，不是按普通快递单价算。
   - 如果是你所在县城门店想进货，需要联系佳农当地经销商或区域销售，问“到县城门店的冷链干线+落地配费用”。

**建议你直接这样确认：**
- 打开京东/天猫/抖音搜“佳农官方旗舰店”，定位你县城地址，看是否可下单。
- 打开美团优选/多多买菜，定位县城，看是否有佳农水果自提点。
- 如果是要门店进货，联系佳农官网/公众号客服，问你所在省区的经销商电话，再让对方报到县城的冷链配送价和起送量。

如果你告诉我具体省份、县城名称、是想“个人买”还是“门店进货”，我可以帮你判断更可能走哪种渠道。
