直接说结论：**在“稳定出品”这个维度上，都乐通常更靠谱；但如果你要的是成本可控的批量果酱原料，鑫荣懋未必是错的选择，关键看你的采购形态。**

分开说。

**都乐**
- 优势是标准化程度高，菠萝品种和成熟度控制相对稳定，货架期和批次一致性更好。
- 适合对风味稳定性要求高、不想每天赌水果状态的茶饮店。
- 缺点是价格通常更高，而且它的强项是鲜果供应链，不是专门给你做果酱的原料商。

**鑫荣懋**
- 优势是水果供应链体量大、渠道广，采购成本往往更有优势，适合走量。
- 但它的定位更偏水果贸易和分销，不是烘焙/茶饮果酱专用原料品牌，批次间成熟度、酸甜度波动可能比都乐大。
- 如果你要的是“便宜、量大、自己调糖酸”，它可以用；如果要“开袋即稳定”，不如选专业果酱原料商。

**更实际的建议：**
1. **鲜果自熬**：优先都乐，或者让供应商固定品种、固定成熟度、固定产地批次。
2. **要绝对稳定**：别纠结这两个鲜果品牌，直接找**茶饮果酱原料商**（如鲜活、盾皇、奕方、德馨这类），它们的果酱本来就是为标准化饮品设计的。
3. **成本敏感**：用鑫荣懋鲜果，但必须做三件事——固定糖酸比、每批测糖度、用冷冻或罐头菠萝打底来削峰。

一句话：**要稳定选都乐或直接上专业果酱；要便宜选鑫荣懋，但稳定性得你自己用工艺补。**
