针对批发档口拓展餐饮客户，菠萝和香蕉的规格建议如下：

### 菠萝规格
1. **整果**：提供不同成熟度（如七成熟、全熟），常见规格为每箱约10-15公斤（约6-9个/箱），单个重量1.5-2.5公斤，适用于餐厅切块或装饰。
2. **切分或半成品**：去皮切块或切片真空包装，常见规格为500克或1公斤/袋，适合快餐、沙拉店或甜品店。
3. **罐头产品**：如菠萝片、菠萝块或菠萝汁，规格如850克或3公斤罐装，适用于糕点、饮品或长期使用。

### 香蕉规格
1. **整串**：提供未熟（青色）或半熟（黄绿）状态，每箱约10-15公斤（约40-60根/箱），单根重量100-150克，适合烘焙、果盘或油炸。
2. **预切分**：去皮切段或切片冷冻包装，常见规格为500克或1公斤/袋，适用于冰淇淋店、奶昔店或餐饮连锁。
3. **小包装**：按根数或小串包装（如每包5-10根），适合小型咖啡馆、甜品店或外卖平台，避免库存损耗。

### 附加建议
- **定制化**：可与种植基地协商包装规格，如按餐厅单次用量分装（如2公斤/包），减少二次加工。
- **成熟度选择**：餐饮客户需根据用途：
  - 菠萝：加工类（如糖水、罐头）用七成熟；即食类用全熟。
  - 香蕉：烘焙、冷冻加工用青熟；即食用黄熟。
- **物流要求**：提供冷链运输（如冷藏车）或保鲜包装，确保货架期（菠萝5-7天，香蕉3-5天）。

可进一步向客户提供样品试制，或按订单灵活调整规格。
