都乐和洪九都涉及菠萝供应链，但“是否有基地直供、能否提供产地溯源”需要分开看，不能一概而论。

**都乐（Dole）**
- 都乐在中国销售的菠萝，部分来自菲律宾、泰国等海外基地，也有国内合作种植基地。
- 都乐一般有较成熟的批次管理和品控体系，大型商超渠道通常能提供产地、批次等信息。
- 但“直供”要看具体采购主体：如果你是中小采购商，通常是通过都乐的经销体系或区域代理拿货，不一定能直接对接种植基地。
- 溯源信息可以要求供应商提供，但深度取决于渠道层级，未必能精确到单个果园。

**洪九果品**
- 洪九是国内较大的水果供应链企业，菠萝是其核心品类之一，在海南、广东、云南等地有合作基地或采购网络。
- 洪九的优势在于国内产地资源和分级加工能力，部分渠道可以做到基地直采。
- 但洪九同样有分销体系，是否能“基地直供”取决于你的采购量、合作模式和对接的是总部还是区域分公司。
- 溯源方面，正规合作通常可提供产地证明、检测报告、批次信息，但能否到具体地块需提前确认。

**实操建议**
1. 直接问对方能否提供：产地证明、批次号、检测报告、基地/合作社名称、采摘日期。
2. 明确你的采购量。量小的话，两家大概率都走经销渠道，很难谈真正基地直供。
3. 要求提供近3个月的供货案例或样品批次溯源文件，能提供具体基地信息的更可靠。
4. 如果溯源是硬需求，可以同时接触产地合作社、地方农业龙头企业，往往比大品牌更灵活。
5. 合同里写明溯源要求和不达标处理方式，避免口头承诺。

简单说：两家都有基地资源，但“能不能直供、能不能溯源到基地”取决于你的采购规模和对接层级，需要向具体业务方核实，不能默认品牌方一定直供。
