在合同中明确坏果责任，建议采用以下条款框架：

**第X条 货损责任承担**

1. **货到验收期**：买方应在收货后【24小时】内完成初步验收（若为生鲜类可缩短至【6小时】）。超过期限未提出书面异议的，视为交付合格。

2. **损耗率标准**：双方约定货物自然损耗率为【5%】（可根据品类协商调整）。超出部分的坏果由【卖方/买方】承担（建议标注：若因运输途中非包装问题导致的损毁，由承运方或卖方负责；若属仓储不当，由责任方负责）。

3. **责任划分**：
   - 运输途中因自然原因（如温度、湿度）导致的坏果，若包装符合国家标准，由【买方/卖方/承运方】承担（需结合合同运输条款）。
   - 若包装不符合合同约定（需附图或标准编号），由卖方承担全部责任。

4. **争议处理**：双方对坏果认定有分歧时，可委托第三方检测机构（如：XXX质检中心）出具报告，费用由过错方承担。

**示例条款：**
> “交货后【24小时】内，买方须对货物质量进行抽检（抽样比例不低于【10%】）。若坏果率超过【5%】，买方应保留原包装及运输凭证，并于【48小时】内以书面形式通知卖方。卖方收到通知后应在【72小时】内协商处理方案（补发、折价或退货）。若卖方逾期未处理，视为同意买方按实际损耗比例扣减货款。”

**注意事项**：
- 提前保存运输单、照片、视频等证据链；
- 明确发货前是否进行过质检（需留存记录）；
- 若涉及冷链运输，需约定温控标准（如：全程2-8℃），并在合同中注明。
