针对小水果店做附近小区团购，供应商的支持能力直接决定了你的利润、损耗和履约时效。建议你在洽谈时，重点确认并争取以下服务：

**一、 供应链核心服务（必须项）**

1. **次日达/半日达配送**：团购订单通常是今晚截单、次日到货。供应商需支持**次日中午前**准时送达至你门店或指定自提点，避免顾客下午等急。
2. **现货稳定与库存预警**：供应商需有稳定货源，遇到爆款水果（如晴王、车厘子）要能提前锁定库存。同时支持**开团前报备**，避免开团后断货造成客诉。
3. **损耗品“包退换”机制**：水果是非标品，供应商需对**明显坏果、压伤**提供无条件补货或退款。最好约定坏果率（如超过5%可赔付）的售后政策。
4. **分级与规格定制**：能为团购定制**小规格包装**（例如：3斤装、6粒装）和**高性价比B级果**（外观略次但口感好），而不是只给整件批发货。这决定了你的定价空间。

**二、 运营支持服务（加分项）**

1. **提供鲜活图文素材**：供应商需能提供**高清实拍图、产地视频、简单的卖点文案**，方便你在群里做接龙或小程序推品，节省你的运营时间。
2. **爆款推荐与应季信息**：每周或每日能帮你选出3-5款应季爆品，并告知**建议零售价参考**，帮你快速决策。
3. **滞销品快速处理方案**：如果某款水果卖得不好，供应商是否支持**换货**或**降价促销补贴**（部分供应商会承担部分让利），帮你减少库存压力。

**三、 结算与仓储支持（谈判项）**

1. **账期宽松（可谈）**：初期生意不稳定，力争**预付款或7天账期**，不要一次性压款。
2. **平台对接（如果你用小程序）**：如果使用群接龙或社区团购小程序，供应商最好能直接提供**小程序商品池**或一键同步价格，减少人工录入。

**特别提醒：**
> 沟通时一定要问清楚：**“如果卖不掉，第二天能否退回部分成箱货？”**（部分供应商接受整箱未拆封退回，这是降低你风险的关键条款）。另外，**现场验货权**必须写进口头约定，收货时优先检查最底层和角落是否夹带坏的。

**谈判话术建议**：“王老板，我这边小区团购量会很大且稳定，只要你配送及时、坏果包赔，以后每周你家就是我的主供货商，咱们长期合作分成也可以。” —— 供应商看重稳定走量，你越能展示团购群的活跃度，越能拿到上述支持。
