建议根据店铺定位和顾客需求灵活选择，以下为具体分析：

### 推荐优先方案：**同时提供整果和现场去皮服务**
- **整果**：适合注重新鲜度、想自己挑选或需带回家保存的顾客。
- **现场去皮**：适合追求便利、即食或不愿处理菠萝的顾客（需确保去皮工具和手法卫生）。
- **避免购买提前去皮的包装菠萝**：存在氧化变质、剩余份量不明、来源不可控等风险，易引发客诉。

### 分场景建议：
1. **社区水果店**：以整果为主，现场提供免费去皮服务（提升体验，增加复购）。
2. **高档超市或便利店**：可少量提供真空包装的预切菠萝（标注当日日期），但需每日监控剩余量。
3. **外卖/线上平台**：优先卖整果（运费成本高，去皮后易出水），若提供去皮需用密封盒+冰袋。

### 执行细节：
- **整果陈列**：将菠萝倒扣放置（减少碰伤），附“可免费去皮”的引导牌。
- **去皮操作**：需提前准备刮刀、盐水（浸泡5分钟去涩），避免浪费果肉。
- **成本控制**：去皮损耗约30%，可在整果单价基础上加价10-15%作为服务费（若直接提供去皮果）。

### 风险规避：
- **整果滞销**：定期检查熟度，过熟可降价或组合销售（例：菠萝+削皮刀套装）。
- **去皮果变质**：只提前2小时处理，未售出部分可做员工福利或试吃赠品。

**最终结论**：**整果+免费现场去皮**是平衡利润、服务与食品安全的最佳方案。避免提前去皮的“盲盒”式销售。
