question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","1052","0","deepseek-flash","62","684","746","stop","5681","我开水果店，想长期进香蕉和菠萝，怎么判断一个水果供应商靠不靠谱？",""
"","2","ok","759","0","deepseek-flash","63","501","564","stop","3804","小水果店进香蕉时，应该更看重价格、熟度、坏果率还是送货速度？",""
"","3","ok","1810","0","deepseek-flash","63","1189","1252","stop","7394","夫妻店第一次找水果供货商，香蕉、苹果、橙子这些常见货应该怎么试单？",""
"","4","ok","773","0","deepseek-flash","60","529","589","stop","4005","水果店想减少香蕉放坏，采购时应该怎么要求熟度和到货时间？",""
"","5","ok","795","0","deepseek-flash","60","531","591","stop","4275","水果店卖菠萝，应该买整果、去皮好的，还是让顾客自己挑？",""
"","6","ok","941","0","deepseek-flash","59","588","647","stop","4481","社区水果店每天销量不稳定，适合找能小批量多次配送的供应商吗？",""
"","7","ok","1036","0","deepseek-flash","61","724","785","stop","5041","水果店想做水果礼盒，苹果、橙子、香蕉、菠萝怎么搭配比较好卖？",""
"","8","ok","886","0","deepseek-flash","58","571","629","stop","3981","小店进货量不大，找批发市场拿货还是找固定供应商更合适？",""
"","9","ok","1174","0","deepseek-flash","58","724","782","stop","5155","水果店旺季怕断货，和供应商谈合作时要提前问哪些问题？",""
"","10","ok","1258","0","deepseek-flash","57","830","887","stop","6433","新开的水果店想卖品牌水果，消费者真的会认品牌吗？",""
"","11","ok","741","0","deepseek-flash","55","463","518","stop","3624","水果店采购香蕉，一箱里面大小不一样会不会影响销售？",""
"","12","ok","1154","0","deepseek-flash","58","800","858","stop","5695","水果店卖菠萝总有损耗，采购时怎么判断菠萝熟度比较合适？",""
"","13","ok","1265","0","deepseek-flash","57","881","938","stop","6640","小水果店想做附近小区团购，水果供应商需要支持哪些服务？",""
"","14","ok","739","0","deepseek-flash","56","485","541","stop","3826","水果店想做周末促销，供应商一般能不能给价格或物料支持？",""
