小商家采购水果时，**现金结算**和**月结账期**各有优劣势，风险对立。以下是具体分析，供你决策参考：

---

### 一、现金结算（现款现货）

**优势**  
1. **拿货价更低**：供应商通常给现款客户最多5%~10%的折扣，直接降低采购成本。  
2. **货源优先**：遇上稀缺水果（如早季荔枝、进口车厘子），供应商会优先给现金客户，避免缺货。  
3. **无账期纠纷**：货款两清，避免月底对账扯皮，尤其适合现金流充足且追求简单的中小商家。

**风险**  
1. **资金占用高**：一次性支付全部货款，若水果滞销或损坏（如腐烂、碰伤），损失直接由自己承担。  
2. **无法缓释现金流压力**：如果当天售卖不理想，下一次进货仍需全额掏钱，容易导致周转紧张。  
3. **缺乏“换货缓冲”**：部分供应商对现金单不提供“滞销换货”政策，亏损只能自担。

---

### 二、月结账期（赊账，月底统一结）

**优势**  
1. **缓解短期现金压力**：先拿货卖，月底再付款，相当于供应商给你短期无息贷款，适合旺季囤货。  
2. **减少库存积压损失**：如果当天卖不完，可和供应商商量退货或换货，账期缓冲期方便调整。  
3. **建立长期信任**：持续按时月结，后期可以谈判更优惠价格或专供好货。

**风险**  
1. **采购成本更高**：供应商为了覆盖资金占用，通常单价会高出现金价5%~15%，利润被摊薄。  
2. **账期违约风险**：若月底销量差，你可能无法按时付清，轻则被断供，重则产生滞纳金或法律纠纷。  
3. **供应商跑路风险**：部分小供应商若经营不善，可能卷款跑路，你已售未结的货款可能血本无归。  
4. **依赖性强且被动**：一旦你依赖某个供应商的月结，他中途涨价或断供，你会非常被动。

---

### 三、针对小商家的实操建议

- **组合策略**：日常保底库存用**现金采购**（拿低价），短期促销或试新品用**月结**（降低库存风险）。  
- **优先选择“现金+小额账期”**：比如一次性可付70%现金，剩余30%月结，既显诚意，又留缓冲。  
- **对账周期定短**：如果月结，建议合同写明“每月25号对账、月底前打款”，并保留采购单和转账记录。  
- **评估供应商信用**：月结前，观察对方经营历史（建议至少合作半年以上），避免新供应商就赊账。  
- **水果损耗要写进合同**：无论哪种结算，都要明确“自然损耗（如5%）内不退，超出部分由供应商承担”。

**一句话结论**：现金结算是“省心但风险自担”，月结是“省现金但贵且依赖对方”。小商家建议**现金为主、月结为辅**，具体比例根据季节和库存周转速度调整。
