针对水果礼盒的搭配，建议采用“**鲜亮耐放 + 经典时令**”原则，兼顾视觉美感和食用周期。以下四种水果的搭配方案供参考：

**1. 黄金比例组合（推荐）**
- **苹果（4个）**：红色或青绿色，个头均匀，寓意“平安”。
- **橙子（4个）**：金黄色，与苹果形成红黄对比，提亮色彩。
- **香蕉（1串）**：齐整、无磕碰，放礼盒最上层，增加饱满感。
- **菠萝（1个）**：竖切去头尾（保留绿叶），用保鲜膜包裹，摆在中心或斜放。
- **搭配理由**：苹果和橙子耐放（冷藏可保存7-10天），菠萝前端即可食用，香蕉需在2天内吃完，引导复购。

**2. 按场景定位**
- **送礼**：建议去掉香蕉（易熟、运输中易压损），换成**红心火龙果**或**草莓**，搭配苹果、橙子、菠萝，用透明盒+拉菲草填充，显高档。
- **家庭自用/日常**：保留香蕉并增加数量（2串），菠萝切块装盒（易散味），苹果、橙子各3-5个，性价比更高。

**3. 鲜切增值版**
- 将菠萝削皮切成块（用冰袋保鲜），苹果切片（浸淡盐水防氧化），橙子切三角块，香蕉整根保留。
- **售价可提高30%**，适合写字楼/快消场景，但果肉需在24小时内吃完，不建议长途运输。

**⚠️ 注意事项**
- 苹果和香蕉**不可混放**：香蕉释放乙烯会加速苹果变软，需用隔板或纸分隔。
- 菠萝顶部叶子要保留，证明新鲜度。
- 礼盒外标注**鲜果食用顺序**：香蕉（1-2天内）→ 菠萝（3天内）→ 苹果、橙子（7天内）。

**销量检测**：建议先做10盒试卖，观察苹果和橙子哪种最先被吃完，后续可微调比例。
