第一次与水果供应商合作时，设计一个**小批量试单**的核心目标不是“买到便宜货”，而是**验证供应商的稳定性、诚信度、品控能力和售后响应**。试单的设计应像“压力测试”，尽量暴露问题，同时控制风险。

以下是具体的试单设计方案，分为五个维度：

### 1. 数量设计：小到“赔得起”，大到“看得清”
- **黄金比例**：建议首批采购量为常规月销量的 **10%-15%**，或者**1-2个完整销售周期**的用量（例如你卖3天，就进3天的量）。
- **品种策略**：不要只试一个单品。建议选 **2-3个不同价格带、不同易损程度**的品种（例如：一个高价值易损品如阳光玫瑰，一个走量耐储存品如苹果，一个时令品如荔枝）。这能验证供应商对不同品类水果的分拣、包装和保鲜能力。
- **SKU限制**：单个品类数量控制在5-10箱（或最小起订量），避免库存积压。

### 2. 合同与结算设计：用条款锁定质量
- **“试单条款”**：在合同或订单备注中明确写明“本次为试单，如品质未达约定标准（附上收货标准），甲方有权拒收或退货”。
- **结算方式**：**坚决不做全额预付**。建议采用“30%定金+70%货到验收后**7天内**结清”或“账期月结”。如果供应商坚持100%款到发货，试单风险极高，建议放弃。
- **约定损耗率**：约定自然损耗范围（如5%以内），超出部分的损耗费用由供应商承担或给予折价补偿。

### 3. 品质标准设计：把“口头承诺”变成“书面数据”
- **制定《收货标准》**：明确核心指标（必须可量化）：
  - 甜度值（如西瓜中心糖度需≥11度，用测糖仪）。
  - 大小/规格（如沃柑单果重150-200g）。
  - 磕碰伤允许面积（如≤指甲盖大小，且数量不超过总数的3%）。
  - 成熟度（如猕猴桃需8成熟，软果率≤5%）。
- **发货前留样**：要求供应商发货前冰鲜托运少量样品（顺丰空运）给你，确认风味和外观后再发整车（这能验证其货源是否稳定）。

### 4. 物流与包装验证（关键痛点）
- 小批量试单最容易在物流环节暴露问题。**收货时重点检查**：
  - 车辆是否使用了**冷链车**（如果你要求冷链），而非“冰袋+泡沫箱”的伪装冷链。
  - 箱内有无**温度记录仪**（如有条件）。
  - 包装抗压性：堆叠三层后底部箱体是否变形。
- 明确**到货时间节点**：违约延时（如超过24小时）需有赔偿约定。

### 5. 售后与复购机制（留后手）
- **48小时问题反馈机制**：货到后，如有品质争议，需在48小时内提供照片/视频举证，双方协商补货或退款比例。
- **试单复盘表**：收货后3天内制作一份《试单评估表》，打分项目包括：包装牢固度、净重准确度、果型均匀度、烂果率、客户试吃反馈。**85分以上**才考虑进入正式小批量订货（第二批可提高至3-5倍量）。

---

### 特别注意事项：
- **违约样品机制**：试单前，先让供应商寄送样品（哪怕付费买样），如果样品与大批货差异过大，直接淘汰。
- **背景调查**：试单前用企查查查看供应商是否有劳动纠纷或食品安全行政处罚记录。
- **心理预期**：如果是极低价格的水果供应商（价格低于市场均价20%以上），试单大概率会失败，因为水果行业的利润空间有限，低价往往对应低质或短斤缺两。

**总结**：试单的本质是“用最小的代价验证最大风险”。如果供应商连这个小单都无法保质保量完成，直接终止合作比事后扯皮更划算。
