这种情况很常见，核心应对思路是：**快速补充、品质优先、补偿损失**。以下是具体操作建议，可分步骤执行：

1. **立即确认不合格标准和责任划分**：  
   检查并记录不合格的原因（如腐烂、重量不足、规格不符），拍照并保留凭证。与供应商沟通确认责任方，明确是否属于其违约。

2. **立即启动应急补货**：  
   - 先请供应商立即调换同品类合格水果，要求其在**X小时内（建议2-4小时）**送达，避免断货。  
   - 若供应商无法按时补货，立即联系备选供应商或本地批发市场紧急采购同类水果，优先保证正常营业。

3. **约定补货条款并书面确认**：  
   - 在补充协议或合同中写明：  
     - 补货产品需符合此前约定的品质标准（如甜度、大小、新鲜度），并提供质检证明。  
     - 补货费用由供应商承担（运费、人工等），若对方拒绝，可提出从下一批货款中抵扣。  
     - 明确补货最晚到达时间，逾期视为违约，供应商需承担营业损失（如按照历史日均销售额的一定比例赔偿）。

4. **临时替代方案保营业**：  
   - 若核心水果无法立即补货，可调整菜单：用现有库存制作替代饮品（如用苹果代替桃子做果茶），并主动对顾客说明是“限时新品”，避免投诉。  
   - 提前准备一两款无需特定水果的经典饮品（如柠檬水、奶盖），作为缓冲。

5. **后续预防策略**：  
   - 与供应商重新签订合同时，增加“到货抽检条款”和“质量保证金”或“到货不合格时双倍补货”的条款。  
   - 保留至少2-3家备选供应商联系方式，每月轮换采购小批量以维持合作，防止断供。

**一句话总结**：先找对方紧急调换（2小时内），不行就自备应急补货，当场谈好赔偿并写入合同，同时用替代菜单稳住顾客。重点是把“断供”的应急成本转嫁给出错方。
