建议优先关注**配送**，其次是**售后**，最后才是**价格**。具体原因如下：

1. **配送**（第一优先级）  
   水果的保鲜期短、易损耗，配送的及时性、冷链能力、破损率直接影响你收到的货品质量。如果配送不稳定（延迟、断链、挤压），即便价格再低、售后承诺再好，也会导致大量客诉和损耗。**可以询问：** 发货频次、是否冷链、同城配送时效、破损赔偿规则。

2. **售后**（第二优先级）  
   水果的品控（大小、成熟度、坏果率）很难100%一致，出现问题时供应商的响应速度、补发或退款政策，直接影响你与团购群的信任关系。**可以询问：** 坏果/差果怎么处理、赔付比例、是否有现场换货或补发流程、节假日或天气异常时的应对预案。

3. **价格**（最后优先级）  
   在没有确认配送和售后保障前，低价可能意味着低品质或高风险（例如用常温车配送、不包售后）。如果前两项达标，再通过比价、批量议价或长期合作来争取更优价格。**可以询问：** 起批量、阶梯价、是否含运费、是否有优惠活动。

**建议执行步骤：**  
- 先试单少量（例如1-2箱），重点考察配送时效、包装、果品一致性和售后响应。  
- 确认靠谱后，再谈长期合作价格。  
- 保留聊天记录、订单截图作为售后凭证。
