与水果供应商洽谈酒店早餐合作时，建议重点关注以下几个方面：

1. **品质与一致性**  
   - 明确早餐所需的水果种类（如切块水果、整果、果汁用果等）及每日用量。  
   - 要求供应商提供样品，测试新鲜度、甜度、外观及保存周期。  
   - 确认对方是否能保证全年稳定供货（尤其反季节水果）。

2. **供应能力与及时性**  
   - 签订合同时约定每日/每批次的送货时间（如早晨6点前），并明确迟到或断供的违约责任。  
   - 了解供应商的库存管理和补货机制，制定备选供应商应急方案。

3. **价格与结算**  
   - 根据市场行情协商基准价格，约定价格调整规则（如季节性波动不超过±10%）。  
   - 明确付款周期（如月结30天）、发票开具要求及折扣政策（长期合同）。  
   - 要求供应商提供含税报价并分项列明包装、运输等附加费用。

4. **合规与资质**  
   - 查验供应商的营业执照、食品经营许可证及相关检疫证明。  
   - 要求对方提供水果农残检测报告，确保符合国家食品安全标准。  
   - 确认包装方式是否防挤压、防水雾（避免切块水果变质）。

5. **配送与退货条款**  
   - 制定验收标准（如色泽、重量、瑕疵率），并约定退货流程（如48小时内退货）及损耗分担比例。  
   - 要求供应商提供紧急补货渠道（如临时缺货时2小时内送达替代品）。

6. **长期合作条款**  
   - 在合同中加入专属供应条款，避免对方同时为竞争对手提供相同果品。  
   - 设置年度质量评估机制，对连续不合格批次保留解约权。

最后建议签订试用期合同（如1个月），期间重点验证配送时间、损耗率和问题处理速度。如果对方能提供季节性水果轮换建议，也说明其经验较丰富。
