是的，佳农水果的苹果品类中包含红富士。不过，具体品种（如普通红富士、阿克苏红富士、栖霞红富士等）可能因季节和产地而有所不同，建议以当前销售页面或线下门店的标注为准。

关于佳农与鑫荣懋的性价比对比，以下是关键分析：

1. **品牌定位与价格**：
   - **佳农**：主打中高端市场，红富士苹果通常来自优质产区（如山东、陕西），包装精致，单价较高（一般8-12元/斤）。
   - **鑫荣懋**：供应链规模大，价格区间更广，普通红富士常有促销活动（日常6-9元/斤），但规格较大或有机系列价格会高于佳农。

2. **品质差异**：
   - 佳农的苹果果径更均匀，外观卖相好，甜度稳定（糖度一般在13-15%）。
   - 鑫荣懋的品控相对波动，但高价位系列（如“佳沃”牌）品质与佳农接近。

3. **性价比判断**：
   - **追求稳定口味+送礼**：选佳农，品质一致性强。
   - **日常自吃/大量购买**：选鑫荣懋的普通装（尤其电商活动时），同规格下价格低20-30%。

建议：购买前注意看产地和果径标签，若购买普通红富士自用，鑫荣懋的性价比更高；若需要保证口感一致性，可加价选佳农。
