会有影响，但影响大小取决于你的销售方式。核心结论：**大小不一会拉低整箱批发价和礼盒价，但不一定影响散卖零售，关键看你怎么分级和定价。**

具体分几种情况：

1. **整箱批发/走量卖给同行或小摊**
   - 大小不一影响较大。买家会压价，因为里面小的、差的挑出来难卖。
   - 建议：装车前自己先分级，把大小、成熟度接近的装一箱，能明显卖上好价。

2. **自己门店散卖**
   - 影响较小，但要做分级销售：
     - 大果、品相好的：正常价或精品价，可做果切、礼盒。
     - 中果：主力价，走量。
     - 小果、青果、碰伤果：低价促销、做果切、榨汁、员工餐，别和好果混在一起卖。
   - 最怕的是**同一堆里大小混着卖同一个价**，顾客会专挑大的，剩下小的越来越难卖，损耗变高。

3. **做礼盒/团购/线上精品**
   - 影响很大。礼盒最讲究整齐一致，大小不一会被投诉、退货、差评。
   - 这种渠道必须按大小、颜色、成熟度分选后再装。

4. **熟度不一致比大小不一致更麻烦**
   - 一箱里有的青、有的黄、有的快熟，销售节奏会被打乱。
   - 建议按成熟度分开存放，先卖熟的，青的催熟或后卖。

**实操建议：**
- 采购时问清楚：是否分级、几头装、单果重范围、成熟度是否一致。
- 到店后当天分拣：大、中、小、次果分开。
- 定价拉开档次：大果溢价，中果走量，小果特价或加工。
- 混装只适合低价促销，不适合正价销售。

简单说：**大小不一不是不能卖，而是不能混着按一个价卖。分好级，反而能多卖钱；不分级，只会压价和增加损耗。**
