佳农（Goodfarmer）并未在公开渠道稳定披露“产地直供比例”这一口径的数据，我无法给出可核验的准确百分比。  
如果你需要判断它是否能帮你减少中间环节，建议直接向佳农索取并写入合同或尽调清单，重点核验以下几项：

1. **产地直采比例**
   - 要求按品类、按季度提供：自有基地采购量、合作基地直采量、批发市场/贸易商采购量。
   - 让对方明确“直供”定义：是产地直发你仓，还是先入佳农全国仓再分销。

2. **供应链层级**
   - 问清每个单品从产地到你仓库经过几手：产地代办、产区集散市场、区域批发商、佳农区域仓、经销商。
   - 要求提供典型单品的物流路径和节点。

3. **成本构成**
   - 要求拆分：产地采购价、加工分选费、包装费、冷链仓储费、干线物流费、损耗、服务费/毛利。
   - 对比你自行到产地直采或找产区合作社的成本。

4. **可替代方案**
   - 对量大、标准稳定的单品，可尝试产区合作社/大型种植基地直签。
   - 对进口水果，佳农这类供应链企业仍有价值，但可谈“港口/口岸直发”或“区域仓直配”。
   - 对多品类、小批量采购，完全去中间化未必更便宜，因为分选、冷链、损耗和账期成本会转嫁给你。

5. **谈判可落地的条款**
   - 约定产地直发比例和违约赔偿。
   - 约定公开主要单品产地、加工厂、发货仓。
   - 约定价格随产地行情联动的机制，而不是固定加价。
   - 先选1—2个核心单品做直采试点，对比3个月总到仓成本。

简单说：佳农具体直供比例不能凭公开信息确认；你要降低中间成本，不能只看“直供比例”，而要看**到仓总成本、损耗率、账期和冷链能力**。如果它愿意开放产地、成本结构和直发方案，就有谈判空间；如果不愿透明，建议对核心单品直接找产区基地或合作社做比价试点。
