选择社区超市的水果供应商时，建议重点关注以下核心条件：

1. **供应稳定性**  
   - 能否每日固定时间配送（避免断货或延迟）  
   - 是否有备用货源（如遇天气、物流问题时的替代方案）

2. **水果品质与分级**  
   - 是否提供不同等级（如一级果、二级果）供选择  
   - 是否有明确的鲜度标准（如采摘后多少小时内送达）  
   - 是否支持到货抽检或退换货（如腐烂、压伤处理）

3. **价格与结算方式**  
   - 是否支持批量优惠或长期协议价  
   - 结算周期（周结/月结）及是否有押金要求  
   - 是否提供促销支持（如节假日定制礼盒）

4. **配送灵活性**  
   - 最小起订量是否匹配超市规模（如每天50kg起送？）  
   - 能否按需调整单品配比（如夏季西瓜占比提升）  
   - 是否覆盖周边区域（如15公里内免运费）

5. **资质与抗风险能力**  
   - 食品经营许可证、产地证明、农药检测报告是否齐全  
   - 近1年内有无因质量问题被投诉或处罚的记录  
   - 是否购买配送相关保险（如货损赔付）

行动建议：  
- 优先试订3-5天，测试实际品质和配送准时率  
- 要求供应商提供最近3个月的供应记录（含同行客户评价）  
- 签订合同时明确每日配送时间下限（如上午9点前到货）、品质赔付标准（如超过1%腐烂全额退货）
