针对“门店多但单店量不大”的超市特点，推荐以下供货模式：

1. **直采+分仓配送模式**  
   - 与产地或大型批发市场建立直采合作，设立区域性中心分拣仓（覆盖3-5个门店）。  
   - 单店少量订货（按销量预估），由分仓统一分拣后每周2-3次配送。  
   - **优势**：减少中间环节成本，灵活控制单店库存，适合半日达或次日达品类（如苹果、柑橘）。

2. **损耗共担的联营商户模式**  
   - 引入2-3家水果经销商或合作社作为联营供应商，由其在超市内设专柜或区域。  
   - 超市提供场地和基础设备（冷柜、货架），供应商承担采购、配送、损耗，按销售额分成（15-25%）。  
   - **优势**：零库存风险、损耗由供应商承担，适合易损品类（草莓、葡萄、芒果）。

3. **“小批量+高频”的社区团购供应链**  
   - 与本地社区团购平台（如美团优选、多多买菜的分支）或区域性水果B2B平台（鲜丰、百果园的批发入口）合作。  
   - 每日或每两日下单，由平台次日达配送至门店（每单起订量可低至20-30元）。  
   - **优势**：无需仓库和自建物流，利用平台集约配送降低单店成本，适合季节性水果（荔枝、榴莲）。

4. **拼单联合采购模式**  
   - 联合周边5-10家同规模超市成立采购联盟，统一对接产地或一级批发商。  
   - 按门店销量分配采购量，分时段、分路线配送（例如A路配送3家、B路配送2家）。  
   - **优势**：通过批量获得议价权（价格比单店低10-15%），降低冷链运输均摊成本。

---

### 关键建议：
- **优先选择联营商户模式**（如果现有供应商资源充足）：风险最低，适合快速验证水果品类的销售能力。  
- **避免自建冷库和长链条**：单店量小会使冷链损耗成本分摊过高，建议采用“高频次、小批次”的第三方配送（如每日优鲜的B端服务）。  
- **数据化测试**：对每个SKU设定7天试销期，记录损耗率和销售额，逐步淘汰低效品种，集中资源供给10-20个核心水果（如苹果、香蕉、橙子）。
