在便利店这种小面积、高流转的场景下，水果采购的核心逻辑是**“少即是多，快进快出”**。不要试图把便利店做成水果店，而要把它做成**“即食水果的便捷补充站”**。

建议从以下三个维度来控制品类和损耗：

### 一、品类控制：只做“高频刚需”，不做“尝鲜猎奇”

小门店的陈列位很贵，选品必须遵循“**三高一低**”原则（高复购、高毛利、高流转、低损耗）。

- **锁定核心“老三样”**：**香蕉**（走量之王，催熟可控）、**苹果**（耐储存）、**梨/橙子**（当季耐放）。这三类必须常年供应，占水果区50%以上的陈列面。
- **补充“即食小盒”**：这是小门店控制损耗的**秘密武器**。采购整果后，在店内或由供应商加工成**200g-300g的果切盒**（如西瓜盒、哈密瓜盒、混合拼盘）。果切毛利高（通常可达50%以上），且能消化掉整果中磕碰、卖相不佳的次级果。
- **坚决不做**：榴莲、山竹、杨梅等易损耗或单价过高的“重资产”水果，除非有稳定客流，否则一个坏果就可能吃掉当天利润。
- **上货策略**：采用**单品种少量多次**。比如苹果一次只进6-8个，卖完再补，保持货架“不满但新鲜”的饥饿感，避免积压。

### 二、损耗控制：从“采购端”到“货架端”的全链路

损耗不是卖剩下的，而是买错的，控制损耗要从进货就开始。

**1. 采购源头的硬性约定（核心）**

- **按“毛重”进，按“净重”摆**：要求供应商必须提供**分拣好的A级果**，坚决拒绝“统货”（大小不一的混装）。
- **要求供应商“保鲜配送”**：签采购协议时，明确必须使用冷链车，夏季水果中心温度必须低于10℃，这是延长货架期的基础。
- **物理防损**：订货时，**直接跟供应商约定好“调换比例”**。比如香蕉、葡萄这类易损品，约定坏果率超过5%的部分由供应商全赔或换新，把风险上移。

**2. 门店内的“硬核”管理**

- **设立“临期区”或“每日特价”**：水果保质期短。当天下午5点后，对卖相稍差但未变质的水果进行**8折或买一送一**促销，快速回笼资金，绝不隔夜硬撑。
- **“伸手能拿”原则**：把新品种或易损品（如草莓、蓝莓）放在顾客最容易拿到的黄金层（1.2-1.5米），减少翻找造成的挤压损耗。
- **空调与陈列**：水果区上方一定要有冷气出口，且不要堆放过高（不超过3层），避免底部水果被压坏。

### 三、极端降损策略：反向定品

如果门店面积实在太小（比如20平米以下），建议放弃**散称水果**，直接转型为**“果切+果汁”**模式。

- 只进货**大件耐储水果**（如大西瓜、整箱苹果）。
- 在店内加工成杯装果切或鲜榨果汁，按“杯”售卖。
- **优点**：标品化，定价高，损耗接近零——因为坏的部分可以作为次品处理掉，剩下的都变成了“成品”。

**最后给你一个可执行的每日动作清单（SOP）：**

1. **早上9点**：前一日未售完的散装水果，优先进果切盒或做特价引流。
2. **上午10点**：新货到店后，**先清点烂果数**，拍照存证，超约定比例直接拒收或要求补损。
3. **中午12点**：检查所有水果的“触感”，表皮发软、有异味的立刻撤下。
4. **晚上8点**：对第二天无法售出的水果，进行**“买一送一”**或与关东煮、面包做**组合套餐**（如买饭团+3元换购果切），务必当日出清。

**一句话总结：** 小门店卖水果，**进货看“天数”，不看“斤数”**——你进的这批货，几天内能卖完？只要算不清这个天数，就少进一半的量。
