从公开可确认的信息看，这两家都具备一定的产地溯源和品控体系基础，但能否提供你需要的“证明文件”，要看你具体要什么层级、什么格式的材料。分开说：

**都乐**
- 都乐是跨国水果品牌，在国内有较成熟的供应链和品控流程，香蕉是其主力品类之一。
- 通常可以提供：产地信息、批次信息、检验检疫相关文件、部分第三方检测报告。
- 但具体到“每一批货的产地溯源证明”“品控证明”能否随货提供，需要向其销售或大客户渠道确认，不同渠道、不同批次支持程度不一样。

**鑫荣懋**
- 鑫荣懋是国内大型水果供应链企业，香蕉采购和分销规模较大，也有品控和溯源管理能力。
- 通常可以提供：供应商/产地信息、检测报告、质量合格相关文件。
- 同样，具体到“溯源码”“产地证明”“品控报告”是否逐批配套，要按你的采购量和合作方式去谈。

**实际判断建议**
1. 直接向两家的销售或大客户经理提出书面清单，明确你要：
   - 产地证明（具体到国家/产区/果园或包装厂）
   - 批次溯源信息（批号、采摘/包装日期）
   - 品控证明（农残检测、质量检测、第三方报告）
   - 检验检疫或进口相关文件（如涉及进口）
2. 问清楚是“随货提供”还是“按需提供”，是“每批”还是“定期”。
3. 如果对方只能给部分材料，可以要求其出具书面说明，写清能提供的文件和频率。
4. 如果这两家不能满足你的全部要求，可以再找专注香蕉的产地直采商或大型批发市场的一级供应商，他们有时在逐批溯源上更灵活。

**结论**：都乐和鑫荣懋大概率能提供一定程度的产地和品控文件，但不能默认它们一定满足你“每批完整溯源+品控证明”的要求。建议直接拿一份明确的需求清单去问，让对方书面确认能提供哪些、多久提供一次。
