和供应商洽谈合作时，可以考虑提前询问以下关键问题，以确保旺季供货稳定：

1. **稳定供货能力**  
   - 旺季时你们的最大供应量是多少？  
   - 有无历史旺季断货案例？如果有，原因是什么？如何预防？

2. **备货与交货时间**  
   - 通常需要提前多久下单才能保证按时到货？  
   - 紧急追加订单时，最快能多久发货？

3. **价格与支付方式**  
   - 旺季价格是否会波动？是否有长期合同锁定价格机制？  
   - 支持哪种付款方式（如预付款、账期）？账期多长？

4. **质量标准与验收**  
   - 供货水果的等级标准是什么（如大小、甜度、外观）？  
   - 出现质量问题时（如腐烂、大小不均），退换货流程怎么走？

5. **物流与损耗**  
   - 由谁负责运输？运输时间及冷链保障如何？  
   - 运输过程中的损耗率大概多少？由谁承担？

6. **应急与售后**  
   - 如果出现临时断货，是否有备选货源或调货方案？  
   - 出现供货延误，是否有补偿或免责条款？

7. **长期合作潜力**  
   - 他们最看重的合作条件是什么？（有时以此争取优先供货权）  
   - 是否可以签订保供协议，明确旺季最低供应量？

建议将这些问题整理成清单，逐条与供应商沟通并记录答复，最终签订书面合同时明确关键条款。
