做水果生意，供应商选得好不好，直接决定你能不能长期稳定。很多人只盯着“价格低不低、货新不新”，但真正容易忽视、又最影响长期经营的细节，往往是下面这些：

1. **同一品质的稳定性，而不是单次好货**
   - 一次发来的果子很好不代表靠谱，关键是**连续多批次的糖度、大小、成熟度、外观是否稳定**。
   - 要问：同一产地、同一品种，不同批次差异大不大？有没有分级标准？

2. **损耗率和售后规则**
   - 水果最怕压伤、闷坏、催熟不均。要提前确认：
     - 运输损耗谁承担？
     - 到货后多久内可反馈？
     - 烂果、次果怎么赔，按比例还是按件？
   - 很多合作后期出问题，不是货不好，而是**售后扯皮**。

3. **供应周期和淡旺季能力**
   - 这个供应商是只做一季，还是能全年供？
   - 旺季能不能保量，淡季能不能找到替代品？
   - 如果只靠一个单品、一个产地，遇到天气、封路、减产就会断供。

4. **采摘、分拣、包装是否规范**
   - 有没有按成熟度采摘？
   - 是否做分级、称重、预冷、保鲜？
   - 包装是否适合你的销售场景：门店、电商、社区团购、批发，要求完全不同。
   - 包装不当会直接推高你的损耗和客诉。

5. **是否懂你的销售场景**
   - 做高端水果店，和做社区团购、直播、批发，标准不一样。
   - 好供应商会问你：卖给谁、多久卖完、要不要催熟、要多大的果。
   - 只会说“我家货很好”的，通常不够专业。

6. **账期、结算和资金压力**
   - 是现结、周结、月结，还是要押金？
   - 价格波动时怎么调价？有没有提前通知？
   - 长期稳定合作，账期和调价机制比单纯低价更重要。

7. **物流距离和到货时效**
   - 产地离你多远？走冷链还是普通车？
   - 到货时间是否固定？会不会经常凌晨到、白天到，影响上架？
   - 距离太远、时效不稳，损耗和资金占用都会上升。

8. **是否只依赖一个供应商**
   - 长期稳定不能把命脉交给一家。
   - 最好有主供应商 + 备用供应商，甚至不同产地搭配。
   - 但也不能太散，否则品质、价格、售后都难统一。

9. **诚信和沟通反应速度**
   - 出问题时，是积极解决还是推责？
   - 报价、库存、发货信息是否透明？
   - 小问题就能看出长期合作靠不靠谱。

10. **是否愿意和你一起做品控**
   - 能不能提供样品、检测报告、产地信息？
   - 能不能按你的标准定制分拣？
   - 能不能一起复盘客诉和损耗？
   - 这种“共创型”供应商，才更容易长期稳定。

简单判断标准：
- **看连续3—5批货，而不是看1批。**
- **看售后条款，而不是只看报价。**
- **看淡季和突发情况下的供货能力。**
- **看对方是否愿意按你的销售场景调整。**

如果只能记一句话：  
**长期稳定的水果供应商，不是最便宜的，而是品质稳、损耗可控、售后清楚、旺季不断供、沟通不扯皮的那一个。**
