在水果店采购菠萝时，判断熟度主要看**外观、气味和手感**，而不是单纯靠颜色。以下是具体的可执行判断方法：

### 1. 看颜色（最直观）
- **黄绿色或全黄**：适合**即食**，甜度高，但耐存放时间短（约1-2天）。
- **青绿色为主**：偏生，酸度大，但常温可自然催熟（约放3-5天），适合大批量采购后分批上架。
- **全黄且带香味**：非常熟，必须当天卖掉或冷藏，否则易发酵变质。

**建议**：采购时**混合搭配**，即买一部分七成熟（青黄相间）、一部分九成熟（黄多绿少），这样能覆盖未来几天的销售，减少损耗。

### 2. 闻气味（关键）
- **有浓郁菠萝香**（尤其底部）：熟度较高。
- **几乎没有气味**：多半偏生，口感酸涩。
- **有酒味或酸臭味**：过熟或腐烂，**坚决不采**。

### 3. 按手感（判断内部）
- **轻轻按压果肉**（不是叶子）：有**轻微弹性**、略软，说明熟度适中；**硬邦邦**说明生；**发软凹陷**说明过熟，容易碰伤。
- **掂重量**：同等大小选**更重的**，水分足，果肉紧实，损耗低（重量轻的往往纤维多、空心）。

### 4. 看底部和叶子（辅助）
- **底部（果眼）**：如果底部有**轻微裂纹**或干瘪，通常过熟；底部**湿润**且颜色黄绿，说明新鲜。
- **叶子**：**轻轻拔一下**中间叶子，如果轻松脱落，说明过熟；如果拔不动，偏生。**注意**：叶子太绿可能打了保鲜剂，建议结合气味判断。

---

### 针对损耗的额外采购建议：
- **优先选“黄绿相间”的**：这种状态保质期约3-5天，比全黄多1-2天，比全绿更能吸引顾客尝鲜。
- **避免买“带黑斑或软烂”**：哪怕便宜也别拿，损耗会直接侵蚀毛利。
- **进货量按周转来定**：宁可少买补货，不要囤货。夏季高温下，菠萝一天内成熟度变化很快。

**总结**：采购时**看黄绿比例+闻底部香味+按果身弹性**，优先选青黄相间、有淡淡香、轻按微弹的，并采取“多批次小批量”进货，能显著降低损耗。
