目前公开信息中，**都乐（Dole）** 和 **洪九果品** 都已制定香蕉分级的企业标准，但具体标准文本通常属于内部文件，未向公众完全公开。以下是基于行业惯例和公开资料整理的参考信息：

1. **都乐（Dole）**  
   - 主要依据果实长度、弯曲度、成熟度、表皮损伤等进行分级，通常分为“特级”、“一级”、“二级”等。  
   - 其标准与国际香蕉分级规范（如联合国欧洲经济委员会UNECE标准）接近，但具体数值需查阅企业采购手册或联系供应商获取。  
   - 建议：直接联系都乐中国业务部门或查阅其供应商指引文件（部分食品行业展会可能公开）。

2. **洪九果品**  
   - 作为国内头部水果供应链企业，洪九果品已建立内部香蕉分级标准，重点在于果指长度（通常要求18-22cm）、均匀度、色泽及无严重瑕疵。  
   - 其标准可能随终端客户需求（如商超、批发市场）动态调整。  
   - 建议：在洪九果品的采购平台（如“洪九星鲜”）或通过其区域销售代表获取分级细则。

如需制定自家连锁店标准，可参考：
- **通用分级维度**：果指长度（如17-20cm为A级）、成熟度等级（1-7级，1-3级适于长途运输）、表面斑点/病斑允许范围（如单个斑点≤3mm，总数≤5个）。  
- **行动方案**：直接联系上述企业采购部（尝试官网客服邮箱或电话），或委托第三方检测机构（如SGS、华测检测）反向分析样品。  

**重要提醒**：若需引用具体数据，请务必从企业直接获取，避免引用猜测或未授权的转载资料。
