针对单位采购水果到货品质不一致的情况，建议按以下步骤处理验收和售后：

### 一、验收阶段（关键）
1. **全程录像/拍照**  
   从拆包开始，拍摄所有水果的完整状态（包括外箱、包装袋、变质/损伤部位），建议拍摄整箱俯视图和个别问题特写。

2. **逐箱开箱检查**  
   - 对照采购清单核对品种、规格、数量  
   - 重点检查：表面烂斑、挤压变形、虫蛀、成熟度差异明显（如一半青一半熟）  
   - 用电子秤随机抽检单果重量是否达标（例如标注单果200g以上，抽查10%）

3. **按《食用农产品市场销售质量安全监督管理办法》判定**  
   - **明显可接受**：轻微磕碰（不影响食用）、自然色差（如苹果向阳面更红）  
   - **需拒收/索赔**：腐烂超过果面5%、生虫、严重挤压汁液渗出、整箱含半数以上过软/过硬果实

4. **现场填写《异常记录表》**  
   - 记录：到货时间、供应商、车牌号、问题类型、件数比例（如：20件中有6件表皮塌陷）  
   - 让送货人员签字确认（若对方不签字，保留其拒绝签字的录音/视频）

### 二、售后处理（根据合同或约定，优先选择）
1. **分层分级处理**  
   - **30%以内问题**：要求供应商补发同等数量优质果，或按问题比例抵扣货值（如问题果按半价结算）  
   - **30%-50%问题**：整批次退货重新发货，同时要求供应商承担空运/快递补发运费  
   - **超过50%严重问题**：终止订单，要求全款退款+合同约定的违约金（如有）

2. **快速证据链固定**  
   - 24小时内将问题水果密封保存（防止二次变质）  
   - 通过微信/邮件发送以下信息给供应商：  
     - 问题描述+照片/视频文件名  
     - 采购单号、到货时间  
     - 明确处理诉求（如：请明天18:00前补发20斤红富士，否则退款）

3. **备选方案**  
   - 若时间紧迫无法换货，可让供应商开具《品质抵扣证明》（注明：因品质问题减价XX元），财务据此修改应付账款  
   - 紧急情况可向供应商电话确认后自行购买替代水果，保留票据要求赔偿差价

### 三、长期建议
- 在采购合同中**明确验收标准**：“同一箱内水果单果重量差不超过10%，腐烂率≤2%，成熟度均匀度≥80%”  
- 建立供应商评级：单次到货≥20%问题即进入观察名单，累计两次终止合作  
- 使用“验收记录表”留存至少30天（便于在质量争议时提供完整证据链）

**经验提示**：水果生鲜的“品质一致”有一定容差（如8成完好视为合格），建议重点关注“腐烂/霉变/异物”等硬性问题，次优问题可协商折扣而非退货。
