关于佳农水果的配送时效，通常取决于你**购买渠道**（如京东、天猫、拼多多、其官方小程序等）和**收货地址**。**没有统一的固定时效**，但根据常见情况，可以给你以下参考：

1.  **电商平台（京东/天猫旗舰店）**：
    *   一般在下单后 **24-48小时** 内发货（生鲜类通常承诺48小时内）。
    *   顺丰/京东冷链配送，一线城市通常在下单后 **1-2天** 送达；二三线城市通常 **2-3天**。

2.  **官方小程序/社区团购**：
    *   部分城市支持 **次日达** 或 **当日达**（需在截单时间前下单）。
    *   若为预售商品（如进口车厘子、榴莲），时效以页面标注的“预计发货日期”为准，通常等待 **3-7天**。

3.  **关键注意事项**：
    *   **生鲜类**普遍**不承诺“下单即发”**，因为需要采摘、质检、打包。
    *   **偏远地区**（新疆、西藏、内蒙等）时效可能延长至 **3-5天**，且部分水果不支持配送。

**最准确的确认方法**：请在**下单页面**查看“预计送达时间”或“发货时效承诺”。如果订单超过承诺时间未发货，可联系客服并申请催单或补偿。

如果你需要查询特定平台的最新政策，建议直接打开该平台的商品详情页查看“物流服务”标签。
