针对批发档口拓展餐饮客户，菠萝和香蕉的规格建议如下：

### 菠萝
- **规格**：推荐选用**去皮净重约800克-1公斤/个**的成熟菠萝，果肉金黄、甜度高、纤维少（如“金菠萝”或“香水菠萝”）。
- **包装**：建议**真空密封包装**或**带塑料托盒冷藏包装**，避免运输碰撞损伤。
- **供应形态**：提供**整果**（餐饮店自行切配）或**预处理切块**（按1公斤/袋分装，适合做果盘、果汁、炒菜或烘焙）。
- **适用场景**：中高档餐厅、甜品店、果汁吧、连锁快餐（如做菠萝披萨、咕咾肉）。

### 香蕉
- **规格**：推荐**单根长度15-18厘米、单根净重约100-120克**的国产或进口香蕉（如巴西蕉、小米蕉），成熟度**7-8成熟**（表皮微黄带绿，适合储存3-5天）。
- **包装**：**9-10公斤/箱**的小箱包装（便于餐厅库存搬运），内衬防震纸板。
- **供应形态**：**整串**或**单根散装**（可按公斤称重），避免提前折断。
- **适用场景**：早餐店、茶饮店（做香蕉奶昔）、食堂、酒店自助早餐、西餐厅（做香蕉松饼）。

### 附加建议
- **定制规格**：针对特殊需求（如辅食店、高端烘焙），可提供小规格试装（如500克试吃包）。
- **展示与沟通**：提供**实物样品**或**产品规格卡**（含重量、成熟度、保质期），让客户直观确认。
- **物流配送**：优先**次日达冷链配送**，提前说明最低起订量和价格梯度（比如10箱以上批发价）。
