采购小包装香蕉时，需要注意以下几个关键点，以控制损耗并保证销售质量：

### 一、包装方面
1. **包装材质**：选用透气性良好的食品级薄膜或网袋，避免全密封塑料袋导致香蕉受潮、发霉。有条件可使用带小孔的微孔袋，平衡透气与保湿。
2. **包装规格**：根据社区消费习惯，建议每包2-3根（约300-500克），避免过大包装造成顾客迟疑。单根重量均匀，外观完整，确保每包颜值统一。
3. **防挤压设计**：包装内可放瓦楞纸托或泡沫垫，防止堆叠时压伤。如用塑料袋，注意封口不过紧，留一定松散度。
4. **品牌标签**：在包装上清晰标注“即食”或“后熟”、“不宜冷藏”等提示，减少顾客因存放不当导致的投诉和退货。

### 二、损耗控制方面
1. **成熟度选择**：采购时选择7-8成熟的香蕉（果皮微黄略带绿头、果肉硬实），到店后自然3-5天变熟，避免采购全熟或显著青涩的货品。
2. **运输与到货检查**：
   - 检查箱内有无“水烂”“冻伤”“磕碰疤痕”或果柄断裂（易发霉）。每箱允许2-3根轻微伤损，超过建议拒收或退货。
   - 冬季注意物流保温，防止低温冻伤（表皮变黑、软烂）。
3. **分拣预冷**：到店后立即拆箱，挑出有伤根、裂皮、褐斑、软塌香蕉单独打折销售或加工（如切块做果切），防止因病菌传染扩散。
4. **周转与陈列**：
   - 小包装香蕉用挂架或平铺单层陈列，避免堆叠过多层压伤。
   - 每日翻包2次，剔除变质香蕉，包装破损的及时更换透气袋。
5. **保质期管理**：小包装香蕉建议每日定量上架（如50包/天），按“先进先出”原则。若销售慢，可将部分退回后熟区继续催熟，或搭配芒果、苹果一起做促销。

### 三、其他实用建议
- **供应商谈判**：要求供应商接受“到货损耗2%以内”的退换条款（常见为准，可协商），降低采购风险。
- **增值方案**：对无法以正常价销售的软熟香蕉（未腐烂），可真空分装后制作蛋糕配料或果泥半成品，提升利用率。
- **数据跟踪**：记录每日包装损耗率（按斤或包计）和原因，调整采购量及包装规格，比如单价过高时减少小包装长度。

采取以上措施，可有效降低小包装香蕉的销售损耗在3%以下（一般商超为5-8%），同时提升顾客满意度和复购率。
