采购时减少坏果和口感不稳定，可以从以下几个关键环节入手：

1. **明确验收标准**  
   与供应商签订合同时，明确坏果率（通常不超过3%-5%）、大小规格、甜度、成熟度等指标，并约定退换货或扣款条款。

2. **选择季节性对口供应商**  
   - 不要只盯一家供货，多对比本地与产区供应商。  
   - 要求供应商提供当季采摘的批次，避免非成熟期或长途积压库存。

3. **优化采摘与预冷流程**  
   - 要求供应商在采摘后尽快进行**预冷**（迅速降温），减少呼吸作用导致的变质。  
   - 使用专业包装（如微孔袋、防震垫、吸水纸），防止运输挤压和水分蒸发。

4. **抽样检测与溯源**  
   - 每批到货时随机拆箱，切开查验内部腐烂、虫洞、硬度。  
   - 记录各批次产地、采摘时间、运输路径，出现问题可快速定位环节。

5. **控制库存周转期**  
   - 水果在仓库存放不宜超过2-3天，根据销量小批量多频次补货。  
   - 对易软水果（如草莓、芒果）优先出库，耐储水果（苹果、橙子）适当后置。

6. **分级发货策略**  
   - 将大小、成熟度相近的果子分装同一箱，避免“烂果传染”或口感差异。  
   - 对高级或高单价商品，增加独立隔离包装（如泡沫网套+珍珠棉托盘）。

7. **物流节点监控**  
   - 和快递公司确认是否配备冷链车或温控箱，夏冬季适当增加冰袋或保温层。  
   - 对运输时间超过3天的地区，优先安排耐损品种。

8. **建立反馈闭环**  
   - 定期找首批用户免费试用新品，收集口感评价后调整采购方向。  
   - 将差评中“坏果”照片与供应商复查，共同改进包装或成熟度判断标准。

**总结**：根源在于**产地标准化**和**物流时效控制**。如果自身采购量较大，建议直接派驻品控员到产地监督分拣；若量小，可优先选可退换、有死磕包装的供应商，并通过“第二梯队替补”降低断供风险。
