针对超市水果到货品相不好的售后流程，建议在采购合同或供应商协议中明确以下约定，以保障双方权益并高效处理问题：

### 一、验收与拒收标准
1. **现场验收**：到货后24小时内（生鲜水果建议缩短至2-4小时），由双方共同开箱验收。对品相（如色泽、大小、新鲜度、损伤率）进行拍照、录像留存证据。
2. **拒收条件**：如果腐烂率超过5%或严重机械损伤（挤压、变形）超过10%，超市有权整批拒收并通知供应商补发或退款。
3. **部分验收**：品相问题较轻时（如轻微擦伤、成熟度不足），可协商降价接收（如按比例折扣）。

### 二、问题处理时限
- 超市应在验收后**1小时内**向供应商提交书面问题清单（含照片/视频）。
- 供应商需在**24小时内**回复处理方案（补发、退款或折价补偿）。

### 三、售后责任划分
- **责任归属**：
  - 运输环节损坏：由承运方担责，但超市可要求供应商先行赔付，再向运输方追偿。
  - 采摘/包装缺陷：由供应商全额承担（如：果实未成熟、农药残留、包装不当导致闷热腐烂）。
- **免责情形**：
  - 因超市储存不当（如温度超标）、二次搬运导致损坏。
  - 消费者退货的“零散瑕疵品”不纳入整批售后（除非达到批量标准）。

### 四、退换货流程
1. **退货退款**：全批次品相不合格 → 供应商承担运费+货款全额+违约金（例如货款的5%-10%）。
2. **换货补发**：供应商在2日内补发新批次，并承担空运加急费用。若换货仍不合格，超市有权根据合同终止合作。

### 五、争议解决
- 优先以书面记录（照片、物流单、质检单）为准；如无法明确责任，可引入第三方生鲜检测机构鉴定（费用由过错方承担）。
- 合同末端注明**仲裁机构**（如xx市仲裁委员会）或法院管辖地，避免跨省纠纷。

### 六、附则
- 附录应包含**品相标准清单**（例：苹果直径≥6cm、黄桃无褐点、葡萄无干梗等），双方签字盖章后生效。
- 建议约定**月度售后总上限**（如不超过当月采购额的3%），超出的部分免费补货。

### 操作建议
- 立即对到货水果进行**多角度拍照+保留完整快递单/运单**，启动书面通知流程。
- 如果尚未签约，可先用一份《临时售后备忘录》邮件确认，约定参照此方案处理本次到货问题。

通过以上条款，可将模糊的“品相不好”转化为可量化的验收标准和清晰的索赔路径，降低沟通成本。
