关于菠萝产地直发，都乐（Dole）和鑫荣懋（Xinrongmao）的物流时效，我无法提供实时的精确数据（例如具体到某天到货），因为时效会随季节、发货仓位置、目的地城市以及具体合作的快递/冷链服务而变动。但根据行业惯例和公开信息，我可以给出参考性判断：

**1. 都乐（Dole）**  
- 作为全球性品牌，其国内供应链通常依托自营或签约的华东、华南等地的分拨中心。  
- 菠萝属于热带水果，如果是产地（如海南、广东徐闻）直发，一般走**冷链车或航空+冷链**。  
- 参考时效：**到一线城市（如北上广深）通常1-2天**，到二三线城市可能2-3天。  
- 注意：都乐更多是B端批发供货，若生鲜电商平台标注“产地直发”，实际发货方可能是合作基地，时效以平台页面承诺为准。

**2. 鑫荣懋（Xinrongmao）**  
- 鑫荣懋是国内头部水果供应链企业，其优势在于**基地直采+干线物流网络**，尤其擅长解决果品从产地到零售端的损耗问题。  
- 菠萝直发通常采用**预冷+冷藏车**，部分高端订单可能走**空运**。  
- 参考时效：**同省或邻近省份1天**，跨省（如从海南发往华北）通常2-3天。  
- 若电商平台显示“次日达”或“48小时达”，鑫荣懋大概率可以满足，因为其冷库节点较多。

**核心建议：**  
- **不要只看品牌名**，关键是看生鲜电商页面默认的“预计送达时间”或“发货地”标签。若显示“预售”，则发货时间取决于采摘和排期。  
- 若需采购或比价，建议直接联系两家公司的**大客户/电商渠道部门**，索取最近一周的**实际发货物流单号**作为验证。  
- 如果是消费者个人购买，优先选择支持“坏果包赔”和“全程冷链跟踪”的店铺，物流时效以平台承诺为准。  

如果需要我帮你查询具体城市间的参考时效，请提供**发货城市和收货城市**，我可以根据经验给出更细化的区间预判。
